Sentence,Sentence Start,Sentence End
इन्द्रियंरसग्राहकंरसनंजिह्वाग्रवर्ति ।,121.320,125.900
विषयःसरित्समुद्रादिः ॥ ११ ॥,125.900,129.760
उष्णस्पर्शवत्तेजः ।,129.760,132.300
तच्चद्विविधंनित्यमनित्यंच ।,132.300,135.940
नित्यंपरमाणुरूपं ।,135.940,138.600
अनित्यंकार्यरूपं ।,138.600,140.940
पुनस्त्रिविधंशरीरेन्द्रियविषयभेदात् ।,140.940,145.140
शरीरमादित्यलोकेप्रसिद्धम् ।,145.140,148.720
इन्द्रियंरूपग्राहकंचक्षुःकृष्णताराग्रवर्ति ।,148.720,154.300
विषयश्चतुर्विधःभौमदिव्यौदर्याकरजभेदात् ।,154.300,160.300
भौमंवह्न्यादिकम् ।,160.300,162.720
अबिन्धनंदिव्यंविद्युदादि ।,162.720,165.820
भुक्तस्यपरिणामहेतुरौदर्यम् ।,165.820,168.920
आकरजंसुवर्णादि ॥ १२ ॥,168.920,172.400
रूपरहीतःस्पर्शवान्वायुः ।,172.400,175.200
सद्विविधःनित्योऽनित्यश्च ।,175.200,178.780
नित्यःपरमाणुरूपः ।,178.780,181.060
अनित्यःकार्यरूपः ।,181.060,183.300
पुनस्त्रिविधःशरीरेन्द्रियविषयभेदात् ।,183.300,187.720
शरीरंवायुलोके ।,187.720,190.240
इन्द्रियंस्पर्शग्राहकंत्वक्सर्वशरीरवर्ति ।,190.240,195.620
विषयोवृक्षादिकम्पनहेतुः ॥ १३ ॥,195.620,198.440
शरीरान्तःसंचारीवयुःप्राणः ।,198.440,202.220
सचएकोऽप्युपाधिभेदात्प्राणापानादिसंज्ञांलभते ॥ १४ ॥,202.220,208.600
शब्दगुणकमाकाशम् ।,208.600,210.780
तच्चैकंविभुनित्यञ्च ॥ १५ ॥,210.780,213.880
अतीतादिव्यवहारहेतुःकालः ।,213.880,217.200
सचैकोविभुर्नित्य्श्च ॥ १६ ॥,217.200,219.320
प्राच्यादिव्यवहारहेतुर्दिक् ।,219.320,222.880
साचैकाविभ्वीनित्याच ॥ १७ ॥,222.880,226.560
ज्ञानाधिकरणमात्मा ।,226.560,228.800
सद्विविधःपरमात्माजीवात्माच ।,228.800,232.480
तत्रेश्वरःसर्वज्ञःपरमात्मैकएव ।,232.480,237.380
जीवात्माप्रतिशरीरंभिन्नोविभुर्नित्यश्च ॥ १८ ॥,237.380,241.960
सुखाद्युपलब्धिसाधनमिन्द्रियंमनः ।,241.960,245.520
तच्चप्रत्यात्मनियतत्वादनन्तंपरमाणुरूपंनित्यंच ॥ १९ ॥,245.520,252.520
चक्षुर्मात्रग्राह्योगुणोरूपम् ।,252.520,256.000
तच्चशुक्लनीलपीतरक्तहरितकपिशचिन्नभेदात्सप्तविधम् ।,256.000,262.280
पृथिवीजलतेजोवृत्ति ।,262.280,265.360
तत्रपृथिव्यांसप्तविधम् ।,265.360,268.300
अभास्वरशुक्लंजले ।,268.300,270.580
भास्वरशुक्लंतेजसि ॥ २० ॥,270.580,273.720
रसनग्राह्योगुणोरसः ।,273.720,276.460
सचमधुराम्ललवणकटुकषायतिक्तभेदात्षड्विधः ।,276.460,281.820
पृथिवीजलवृत्तिः ।,281.820,283.660
तत्रपृथिव्यांषड्विधः ।,283.660,286.480
जलेमधुरएव ॥ २१ ॥,286.480,288.840
घ्राणग्राह्योगुणोगन्धः ।,288.840,291.660
सद्विविधःसुरभिरसुरभिश्च ।,291.660,294.600
पृथिवीमत्रवृत्तिः ॥ २२ ॥,294.600,296.640
त्वगिन्द्रियमात्रग्राह्योगुणःस्पर्शः ।,296.640,301.340
सचत्रिविधःशीतोष्णानुष्णाशीतभेदात् ।,301.340,305.980
पृथिव्यप्तेजोवायुवृत्तिः ।,305.980,308.800
तत्रशीतोजले ।,308.800,310.880
उष्णस्तेजसि ।,310.880,312.500
अनुष्णाशीतःपृथिवीवाय्वोः ॥ २३ ॥,312.500,316.760
रूपादिचतुष्टयंपृथिव्यांपाकजमनित्यंच ।,316.760,321.300
अन्यत्रअपाकजंनित्यमनित्यंच ।,321.300,324.880
नित्यगतंनित्यम् ।,324.880,326.800
अनित्यगतमनित्यम् ॥ २४ ॥,326.800,329.360
एकत्वादिव्यवहारहेतुःसंख्या ।,329.360,332.900
सानवद्रव्यवृत्तिःएकत्वादिपरार्धपर्यन्ता ।,332.900,337.960
एकत्वंनित्यमनित्यंच ।,337.960,341.200
नित्यगतंनित्यम् ।,341.200,343.160
अनित्यगतमनित्यम् ।,343.160,345.220
द्वित्वादिकंतुसर्वत्राऽनित्यमेव ॥ २५ ॥,345.220,349.160
मानव्यवहारासाधारणकारणंपरिमाणम् ।,349.160,353.540
नवद्रव्यवृत्तिः ।,353.540,355.320
तच्चतुर्विधम् ।,355.320,357.000
अनुमहद्दीर्घंहृस्वंचेति ॥ २६ ॥,357.000,359.840
पृथग्व्यवहारासाधारणकारणंपृथक्त्वम् ।,359.840,365.260
सर्वद्रव्यवृत्तिः ॥ २७ ॥,365.260,367.320
संयुक्तव्यवहारहेतुःसंयोगः ।,367.320,370.440
सर्वद्रव्यवृत्तिः ॥ २८ ॥,370.440,372.840
संयोगनाशकोगुणोविभागः ।,372.840,375.940
सर्वद्रव्यवृत्तिः ॥ २९ ॥,375.940,377.600
परापरव्यवहारासाधारणकारणेपरत्वापरत्वे ।,377.600,383.680
पृथिव्यादिचतुष्टयमनोवृत्तिनी ।,383.680,386.520
तेद्विविधेदिक्कृतेकालकृतेच ।,386.520,391.200
दूरस्तेदिक्कृतंपरत्वम् ।,391.200,394.040
समीपस्थेदिक्कृतमपरत्वम् ।,394.040,396.940
ज्येष्ठेकालकृतंपरत्वम् ।,396.940,399.320
कनिष्ठेकालकृतमपरत्वम् ॥ ३० ॥,399.320,402.960
आद्यपतनासमवायिकारणंगुरुत्वम् ।,402.960,406.000
पृथिवीजलवृत्ति ॥ ३१ ॥,406.000,408.640
आद्यस्यन्दनासमवायिकारणंद्रवत्वम् ।,408.640,411.960
पृथिव्यप्तेजोवृत्ति ।,411.960,414.440
तद्द्विविधंसांसिद्धिकंनैमित्तिकंच ।,414.440,418.660
सांसिद्धिकंजले ।,418.660,420.780
नैमित्तिकंपृथिवीतेजसोः ।,420.780,423.740
पृथिव्यांघृतादावग्निसंयोगजंद्रवत्वम् ।,423.740,428.040
तेजसिसुवर्णादौ ॥ ३२ ॥,428.040,429.720
चूर्णादिपिण्डीभावहेतुर्गुणःस्नेहः ।,429.720,434.820
जलमात्रवृत्तिः ॥ ३३ ॥,434.820,436.720
श्रोत्रग्राह्योगुणःशब्दःआकाशमात्रवृत्तिः ।,436.720,441.800
सद्विविधःध्वन्यात्मकःवर्णात्मकश्च ।,441.800,445.900
तत्रध्वन्यात्मकःभेर्यादौ ।,445.900,449.220
वर्णात्मकःसंस्कृतभाषादिरूपः ॥ ३४ ॥,449.220,453.160
सर्वव्यवहारहेतुर्गुणोबुद्धिर्ज्ञानम् ।,453.160,457.000
साद्विविधास्मृतिरनुभवश्च ।,457.000,461.000
संस्कारमात्रजन्यंज्ञानंस्मृतिः ।,461.000,464.740
तद्भिन्नंज्ञानमनुभवः ।,464.740,467.260
सद्विविधःयथार्थोऽयथार्थश्च ।,467.260,470.460
तद्वतितत्प्रकारकोऽनुभवोयथार्थः ।,470.460,474.660
यथारजतेइदंरजतमितिज्ञानम् ।,474.660,478.520
सैवप्रमेत्युच्यते ।,478.520,480.900
तदभाववतितत्प्रकारकोऽनुभवोऽयथार्थः ।,480.900,485.480
यथाशुक्ताविदंरजतमितिज्ञानम् ।,485.480,489.340
सैवअप्रमेत्युच्यते ॥ ३५ ॥,489.340,492.200
यथार्थनुभवश्चतुर्विधःप्रत्यक्षानुमित्युपमितिशाब्दभेदात् ।,492.200,498.240
तत्करणमपिचतुर्विधंप्रत्यक्षानुमानोपमानशाब्दभेदात् ॥ ३६ ॥,498.240,505.040
असाधारणंकारणंकरणम् ।,505.040,508.240
कार्यनियतपूर्ववृत्तिकारणं ।,508.240,511.380
कार्यंप्रागभावप्रतियोगि ॥ ३७ ॥,511.380,514.120
कारणंत्रिविधंसमवाय्यसमवायिनिमित्तभेदात् ।,514.120,520.740
यत्समवेतंकार्यमुत्पद्यतेतत्समवायिकारणम् ।,520.740,525.460
यथातंतवःपटस्यपटश्चस्वगतरूपादेः ।,525.460,531.280
कार्येणकारणेनवासहैकस्मिन्नर्थेसमवेतत्वेसतियत्कारणंतदसमवायिकारणम् ।,531.280,538.780
यथातंतुसंयोगःपटस्यतन्तुरूपंपटरूपस्य ।,538.780,544.400
तदुभयभिन्नंकारणंनिमित्तकारणम् ।,544.400,549.540
यथातुरीवेमादिकंपटस्य ।,549.540,552.780
तदेतत्त्रिविधकारणमध्येयदसाधारणंकारणंतदेवकरणम् ॥ ३८ ॥,552.780,558.560
तत्रप्रत्यक्षज्ञानकरणंप्रत्यक्षम् ।,558.560,562.940
इन्द्रियार्थसंनिकर्षजन्यंज्ञानंप्रत्यक्षम् ।,562.940,566.780
तद्द्विविधंनिर्विकल्पकंसविकल्पकंचेति ।,566.780,571.500
तत्रनिष्प्रकारणंज्ञानंनिर्विकल्पकंयथेदंकिञ्चित् ।,571.500,579.300
सप्रकारकंज्ञानंसविकल्पकंयथाडित्थोऽयंब्राह्मणोऽयंश्यामोऽयंपाचकोऽयमिति ॥ ३९ ॥,579.300,585.960
प्रत्यक्षज्ञानहेतुरिन्द्रियार्थसंनिकर्षःषड्विधः ।,585.960,590.840
संयोगःसंयुक्तसमवायःसंयुक्तसमवेतसमवायःसमवायःसमवेतसमवायःविशेषणविशेष्यभावश्चेति ।,590.840,601.740
चक्षुषाघटप्रत्यक्षजननेसंयोगःसंनिकर्षः ।,601.740,607.400
घटरूपप्रत्यक्षजननेसंयुक्तसमवायःसंनिकर्षः ।,607.400,612.540
चक्षुःसंयुक्तेघटेरूपस्यसमवायात् ।,612.540,617.040
रूपत्वसामान्यप्रत्यक्षेसंयुक्तसमवेतसमवायःसंनिकर्षः ।,617.040,623.160
चक्षुःसंयुक्तेघटेरूपंसमवेतंतत्ररूपत्वस्यसमवायात् ।,623.160,629.980
श्रोत्रेणशब्दसाक्षात्कारेसमवायःसंनिकर्षःकर्णविवरवर्त्याकाशस्यश्रोत्रत्वात्शब्दस्याकाशगुणत्वाद्गुणगुणिनोश्चसमवायात् ।,629.980,644.460
शब्दत्वसाक्षात्कारेसमवेतसमवायःसंनिकर्षःश्रोत्र्समवेतेशब्देशब्दत्वस्यसमवायात् ।,644.460,655.040
अभावप्रत्यक्षेविशेषणविशेष्यभावःसंनिकर्षःघटाभाववद्भूतलमित्यत्रचक्षुःसंयुक्तेभूतलेघटाभावस्यविशेषणत्वात् ।,655.040,668.000
एवंसंनिकर्षषट्कजन्यंज्ञानंप्रत्यक्षंतत्करणमिन्द्रियंतस्मातिन्द्रियंप्रत्यक्षप्रमाणमितिसिद्धम् ॥ ४० ॥,668.000,684.760
अनुमितिकरणमनुमानम् ।,684.760,687.540
परामर्शजन्यंज्ञानमनुमितिः ।,687.540,690.860
व्याप्तिविशिष्टपक्षधर्मताज्ञानं ।,690.860,695.280
यथावह्निव्याप्यधूमवानयंपर्वतइतिज्ञानंपरामर्शः ।,695.280,701.020
तज्जन्यंपर्वतोवह्निमानितिज्ञानमनुमितिः ।,701.020,705.920
यत्रयत्रधूमस्तत्रतत्राग्निरितिसाहचर्यनियमोव्याप्तिः ।,705.920,711.900
व्याप्यस्यपर्वतादिवृत्तित्वंपक्षधर्मता ॥ ४१ ॥,711.900,716.480
अनुमानंद्विविधंस्वार्थंपरार्थंच ।,716.480,720.940
तत्रस्वार्थंस्वानुमितिहेतुःतथाहिस्वायमेवभूयोदर्शनेनयत्रयत्र,720.940,728.220
धूमस्तत्रतत्राग्निरितिमहानसादौव्याप्तिंगृहीत्वापर्वतसमीपंगतः,728.220,736.260
तद्गतेचाग्नौसन्दिहानःपर्वतेधूमंपश्यन्व्याप्तिंस्मरतियत्रयत्रधूमस्तत्रतत्राग्निरिति ।,736.260,746.220
तदनन्तरंवह्निव्याप्यधुमवानयंपर्वतइतिज्ञानमुत्पद्यतेअयमेवलिङ्गपरामर्शइत्युच्यते ।,746.220,755.600
तस्मात्पर्वतोवह्निमानितिज्ञानमनुमितिःउत्पद्यते ।,755.600,761.040
तदेतत्स्वार्थानुमानम् ।,761.040,764.700
यत्तुस्वयंधुमाग्निमनुमायपरंप्रतिबोधयितुंपञ्चावयववाक्यंप्रयुज्यतेतत्परार्थानुमानम् ।,764.700,775.500
यथापर्वतोवह्निमान्धूमत्वाद्योयोधूमवान्सवह्निमान्यथामहानसःतथाचायंतस्मात्तथेति ।,775.500,787.660
अनेनप्रतिपादिताल्लिष्ण्गात्परोऽप्यग्निंप्रतिपद्यते ॥ ४२ ॥,787.660,792.560
प्रतिज्ञाहेतूदाहरणोपनयनिगमनानिपञ्चावयवाः ।,792.560,798.840
पर्वतोवह्निमानितिप्रतिज्ञा ।,798.840,802.680
धूमवत्वादितिहेतुः ।,802.680,805.120
योयोधूमवान्सवह्निमान्यथामहानसइत्युदाहरणम् ।,805.120,809.020
तथाचायमित्युपनयः ।,809.020,811.700
तस्मात्तथेतिनिगमनम् ॥ ४३ ॥,811.700,814.440
स्वार्थानुमितिपरार्थानुमित्योःलिङ्गपरामर्शएवकरणम् ।,814.440,819.120
तस्माल्लिङ्गपरामर्शोऽनुमानम् ॥ ४४ ॥,819.120,822.840
लिङ्गंत्रिविधम् ।,822.840,824.620
अन्वयव्यतिरेकिकेवलान्वयिकेवलव्यतिरेकिचेति ।,824.620,829.900
अन्वयेनव्यतिरेकेणचव्याप्तिमदन्वयव्यतिरेकि ।,829.900,834.800
यथावह्नौसाध्येधूवत्त्वम् ।,834.800,838.480
यत्रधूमस्तत्राग्निर्यथामहानसइत्यन्वयव्याप्तिः ।,838.480,843.520
यत्रवह्निर्नास्तितत्रधूमोऽपिनास्तियथामहाहृदइतिव्यप्तिरेकव्याप्तिः ।,843.520,849.860
अन्वयमात्रव्याप्तिकंकेवलान्वयि ।,849.860,853.300
यथाघटोऽभिधेयःप्रमेयत्वात्पटवत् ।,853.300,857.200
अत्रप्रमेयत्वाभिधेयत्वयोःव्यतिरेकव्याप्तिर्नास्तिसर्वस्यापिप्रमेयत्वादभिधेयत्वाच्च ।,857.200,867.820
व्यतिरेकमात्रव्याप्तिकंकेवलव्यतिरेकियथापृथिवीतरेभ्योभिद्यतेगन्धवत्त्वात् ।,867.820,876.900
यदितरेभ्योनभिद्यतेनतद्गन्धवद्यथाजलम् ।,876.900,881.880
नचेयंतथा ।,881.880,883.400
तस्मान्नतथेति ।,883.400,885.480
अत्रयद्गन्धवत्तदितरभिन्नमित्यन्वयदृष्टान्तोनास्तिपृथिवीमात्रस्यपक्षत्वात् ॥ ४५ ॥,885.480,894.400
सन्दिग्धसाध्यवान्पक्षः ।,894.400,897.060
यथाधूमवत्त्वेहेतौपर्वतः ।,897.060,901.340
निश्चितसाध्यवान्सपक्षःयथातत्रैवमहानसम् ।,901.340,906.680
निश्चितसाध्याऽभाववान्विपक्षःयथातत्रैवमहाह्रदः ॥ ४६ ॥,906.680,912.200
सव्यभिचारविरुद्धसत्प्रतिपक्षासिद्धबाधिताःपञ्चहेत्वाभासाः ।,912.200,919.160
सव्यभिचारोऽनैकान्तिकः ।,919.160,921.700
सत्रिविधःसाधारणासाधारणानुपसंहारिभेदात् ।,921.700,927.380
तत्रसाध्याभाववद्वृत्तिःसाधारणोऽनैकान्तिकःयथापर्वतोवह्निमान्प्रमेयत्वादिति ।,927.380,936.520
प्रमेयत्वस्यवह्न्यभाववतिह्रदेविद्यमानत्वात् ।,936.520,942.400
सर्वसपक्षविपक्षव्यावृत्तःपक्षमात्रवृत्तिःअसाधारणः ।,942.400,948.160
यथाशब्दोनित्यःशब्दत्वादिति ।,948.160,951.880
शब्दत्वंहिसर्वेभ्योनित्येभ्योऽनित्येभ्यश्चव्यावृत्तंशब्दमात्रवृत्तिः ।,951.880,962.220
अन्वयव्यतिरेकदृष्टान्तरहितोऽनुपसंहारी ।,962.220,965.940
यथासर्वमनित्यंप्रमेयत्वादिति ।,965.940,969.640
अत्रसर्वस्यापिपक्षत्वाद्दृष्टान्तोनास्ति ।,969.640,975.720
साध्याभावव्याप्तोहेतुर्विरुद्धः ।,975.720,979.380
यथाशब्दोनित्यःकृतकत्वादिति ।,979.380,983.660
कृतकत्वंहिनित्यत्वाभावेनाऽनित्यत्वेनव्याप्तम् ।,983.660,989.760
यस्यसाध्याभावसाधकंहेत्वन्तरंविद्यतेससत्प्रतिपक्षः ।,989.760,995.800
यथाशब्दोनित्यःश्रावणत्वाच्छब्दत्ववत् ।,995.800,1000.820
शब्दोऽनित्यःकार्यत्वाद्घटवत् ।,1000.820,1005.620
असिद्धस्त्रिविधःआश्रयासिद्धःस्वरूपासिद्धोव्याप्यत्वासिद्धश्चेति ।,1005.620,1014.140
आश्रयासिद्धोयथागगनारविन्दंसुरभिअरविन्दत्वात्सरोजारविन्दवत् ।,1014.140,1022.160
अत्रगगनारविन्दमाश्रयःसचनास्त्येव ।,1022.160,1026.420
स्वरूपासिद्धोयथाशब्दोगुणश्चाक्षुषत्वात् ।,1026.420,1031.600
अत्रचाक्षुषत्वंशब्दंनास्तिशब्दस्यश्रावणत्वात् ।,1031.600,1037.840
सोपाधिकोहेतुःव्याप्यत्वासिद्धः ।,1037.840,1041.420
साध्यव्यापकत्वेसतिसाधनाव्यापकत्वमुपाधिः ।,1041.420,1046.120
साध्यसमानाधिकरणात्यन्ताभावाप्रतियोगित्वंसाध्यव्यापकत्वम् ।,1046.120,1052.020
साधनवन्निष्ठात्यन्ताभावप्रतियोगित्वंसाधनाव्यापकत्वम् ।,1052.020,1058.720
पर्वतोधूमवान्वह्निमत्वादित्यत्रार्द्रेन्धनसंयोगउपाधिः ।,1058.720,1064.820
तथाहि ।,1064.820,1065.920
यत्रधूमस्तत्रार्द्रेन्धनसंयोगइतिसाध्यव्यापकता ।,1065.920,1071.280
यत्रवह्निस्तत्रार्द्रेन्धनसंयोगोनास्त्ययोगोलकेआर्द्रेन्धनसंयोगाभावादितिसाधनाव्यापकता ।,1071.280,1081.320
एवंसाध्यव्यापकत्वेअस्तिसाधनाव्यापकत्वार्द्रेन्धनसंयोगउपाधिः ।,1081.320,1089.200
सोपाधिकत्वाद्वह्निमत्त्वंव्याप्यत्वासिद्धम् ।,1089.200,1095.020
यस्यसाध्याभावःप्रमाणान्तरेणनिश्चितःसबाधितः ।,1095.020,1101.940
यथावह्निरनुष्णोद्रव्यत्वाज्जलवत् ।,1101.940,1105.400
अत्रानुष्णत्वंसाध्यंतदभावउष्णत्वंस्पर्शनप्रत्यक्षेणगुह्यतेइतिबाधितत्वम् ॥ ४७ ॥,1105.400,1115.400
उपमितिकरणमुपमानम् ।,1115.400,1120.480
संज्ञासंज्ञिसम्बन्धज्ञानमुपमितिः ।,1120.480,1124.220
तत्करणंसादृश्यज्ञानम् ।,1124.220,1127.160
अतिदेशवाक्यार्थस्मरणमवान्तरव्यापारः ।,1127.160,1129.120
तथाहिकश्चिद्गवयशब्दार्थमजानन्कुतश्चिदारण्यकपुरुषाद्गोसदृशोगवयइतिश्रुत्वावनगतोवाक्यार्थंस्मरन्गोसदृशंपिण्डंपश्यति ।,1129.120,1142.580
तदनन्तरमसौगवयशब्दवाच्यइत्युपमितिरुत्पद्यते ॥ ४८ ॥,1142.580,1151.480
आप्तवाक्यंशद्बः ।,1151.480,1153.900
आप्तस्तुयथार्थवक्ता ।,1153.900,1156.540
वाक्यंपदसमूहः ।,1156.540,1159.020
यथागामानयेति ।,1159.020,1161.420
शक्तंपदम् ।,1161.420,1163.060
अस्मात्पदादयमर्थोबोद्धव्यइतीश्वरसंकेतःशक्तिः ॥ ४९ ॥,1163.060,1171.360
आकाङ्क्षायोग्यतासंनिधिश्चवाक्यार्थज्ञानहेतुःपदस्यपदान्तरव्यतिरेकप्रयुक्तान्वयाननुभावकत्वमाकाङ्क्षा ।,1171.360,1184.360
अर्थाबाघोयोग्यता ।,1184.360,1187.060
पदानामविलम्बेनोच्चारारणंसंनिधिः ॥ ५० ॥,1187.060,1191.040
आकाङ्क्षादिरहितंवाक्यमप्रमाणम् ।,1191.040,1194.380
यथागौरश्वःपुरुषोहस्तीतिनप्रमाणमाकाङ्क्षाविरहात् ।,1194.380,1200.860
अग्निनासिञ्चेदितिनप्रमाणंयोग्यताविरहात् ।,1200.860,1205.580
प्रहरेप्रहरेऽसहोच्चारितानिगामानयेत्यादिपदानिनप्रमाणंसाम्निध्याभावात् ॥ ५१ ॥,1205.580,1214.400
वाक्यंद्विविधम् ।,1214.400,1216.260
वैदिकंलौकिकंच ।,1216.260,1218.620
वैदिकमीश्वरोक्तत्वात्सर्वमेवप्रमाणम् ।,1218.620,1222.540
लौकिकंत्वाप्तोक्तंप्रमाणम् ।,1222.540,1225.120
अन्यदप्रमाणम् ॥ ५२ ॥,1225.120,1228.720
वाक्यार्थ्ज्ञानंशब्दज्ञानम् ।,1228.720,1231.800
तत्करणंशब्दः ॥ ५३ ॥,1231.800,1236.560
अयथार्थानुभवस्त्रिविधःसंशयविपर्ययतर्कभेदात् ।,1236.560,1242.340
एकस्मिन्धर्मिणिविरुद्धनानाध्र्म्वैशिष्ट्यावगाहिज्ञानंसंशयः ।,1242.340,1248.880
यथास्थाणुर्वापुरुषोवेति ।,1248.880,1252.240
मिथ्याज्ञानंविपर्ययः ।,1252.240,1255.000
यथाशुक्तौइदंरजतमिति ।,1255.000,1257.920
व्याप्यारोपेणव्यापकारोपस्तर्कःयथायदिवह्निर्नस्यात्तर्हिधूमोऽपिनस्यादिति ॥ ५४ ॥,1257.920,1267.200
स्मृतिरपिद्विविधा ।,1267.200,1269.000
यथार्थायथार्थाच ।,1269.000,1272.160
प्रमाजन्यायथार्था ।,1272.160,1274.660
अप्रमाजन्याऽयथार्था ॥ ५५ ॥,1274.660,1277.560
सर्वेषामनुकूलतयावेदनीयंसुखम् ॥ ५६ ॥,1277.560,1281.320
सर्वेषांप्रतिकूलतयावेदनीयंदुःखम् ॥ ५७ ॥,1281.320,1285.440
इच्छाकामः ॥ ५८ ॥,1285.440,1286.800
क्रोधोद्वेषः ॥ ५९ ॥,1286.800,1288.480
कृतिःप्रयत्नः ॥ ६० ॥,1288.480,1290.800
विहितकर्मजन्योधर्मः ॥ ६१ ॥,1290.800,1293.360
निषिद्धकर्मजन्यस्त्वधर्मः ॥ ६२ ॥,1293.360,1296.240
बुद्ध्यादयोऽष्टावात्ममात्रविशेषगुणाः ॥ ६३ ॥,1296.240,1300.560
बुद्धीच्छाप्रयत्नाद्विविधाः ।,1300.560,1303.400
नित्याअनित्याश्च ।,1303.400,1304.960
नित्याईश्वरस्यानित्याजीवस्य ॥ ६४ ॥,1304.960,1308.520
संस्कारस्त्रिविधः ।,1308.520,1311.120
वेगोभावनास्थितिस्थापकश्चेति ।,1311.120,1315.500
वेगःपृथिव्यादिचतुष्टयमनोवृत्तिः ।,1315.500,1319.420
अनुभवजन्यास्मृतिहेतुर्भावना ।,1319.420,1322.960
आत्ममात्रवृत्तिः ।,1322.960,1325.400
अन्यथाकृतस्यपुनस्तदवस्थापकःस्थितिस्थापकःकटादिपृथिवीवृत्तिः ॥ ६५ ॥,1325.400,1332.800
चलनात्मकंकर्म ।,1332.800,1337.460
ऊर्ध्वदेशसंयोगहेतुरुत्क्षेपणम् ।,1337.460,1340.720
अधोदेशसंयोगहेतुरपक्षेपणम् ।,1340.720,1344.080
शरीरसंनिकृष्टसंयोगहेतुराकुञ्चनम् ।,1344.080,1347.520
विप्रकृष्टसंयोगहेतुःप्रसारणम् ।,1347.520,1351.200
अन्यत्सर्वंगमनम् ।,1351.200,1353.080
पृथिव्यादिचतुष्टयमनोमात्रव्ट्ति ॥ ६६ ॥,1353.080,1354.480
नित्यमेकमनेकानुगतंसामान्यंद्रव्यगुणकर्मवृत्ति ।,1354.480,1359.060
तद्द्विविधंपराऽपरभेदात् ।,1359.060,1362.520
परंसत्ता ।,1362.520,1364.160
अपरंद्रव्यत्वादिः ॥ ६७ ॥,1364.160,1365.920
नित्यद्रव्यवृत्तयोव्यावर्तकाविशेषाः ॥ ६८ ॥,1365.920,1371.120
नित्यसम्बन्धःसमवायः ।,1371.120,1373.540
अयुतसिद्धवृत्तिः ।,1373.540,1375.400
ययोर्द्वयोर्मध्येएकमविनश्यदपराऽश्रितमेवावतिष्ठतेतावयुतसिद्धौयथाअवयवाऽवयविनौक्रियाक्रियावन्तौजातिव्यक्तीविशेषनित्यद्रव्येचेति ॥ ६९ ॥,1375.400,1393.640
अनादिःसान्तःप्रागभावः ।,1393.640,1396.300
उत्पत्तेःपूर्वंकार्यस्य ।,1396.300,1399.420
सादिरनन्तःप्रध्वंसः ।,1399.420,1401.800
उत्पत्यनन्तरंकार्यस्य ।,1401.800,1404.660
त्रैकालिकसंसर्गावच्छिन्नप्रतियोगिताकोऽत्यन्ताभावः ।,1404.660,1410.000
यथाभूतलेघटोनास्तीति ।,1410.000,1413.680
तादात्म्यसम्बन्धावच्छिन्नप्रतियोगिताकोऽन्योन्याभावः ।,1413.680,1418.820
यथाघटःपटोनेति ॥ ७० ॥,1418.820,1421.000
सर्वेषांपदार्थानांयथायथमुक्तेष्वन्तर्भावात्सप्तैवपदार्थाइतिसिद्धम् ॥ ७१ ॥,1421.000,1433.440
इतिगुणखण्डः ।,1433.440,1435.380
