Kanda,Sarga,Sentence,Sentence Start,Sentence End
1,1,महोरस्को महेष्वासो गूढजत्रुर् अरिन्दमः ।,110.4,115.5
1,1,आजानुबाहुः सुशिराः सुललाटः सुविक्रमः ॥ १० ॥,115.5,120.38
1,1,समः समविभक्ताङ्गः स्निग्धवर्णः प्रतापवान् ।,120.38,124.82
1,1,पीनवक्षा विशालाक्षो लक्ष्मीवान् शुभलक्षणः ॥ ११ ॥,124.82,129.12
1,1,धर्मज्ञः सत्ययसन्धश्च प्रजानां च हिते रतः ।,129.12,135.72
1,1,यशस्वी ज्ञानसम्पन्नः शुचिर्वश्यः समाधिमान् ॥ १२ ॥,135.72,140.44
1,1,प्रजापतिसमः श्रीमान् धाता रिपुनिषूदनः ।,140.44,145.7
1,1,रक्षिता जीवलोकस्य धर्मस्य परिरक्षिता ॥ १३ ॥,145.7,150.36
1,1,रक्षिता स्वस्य धर्मस्य स्वजनस्य च रक्षिता ।,150.36,155.2
1,1,वेदवेदाङ्गतत्त्वज्ञो धनुर्वेदे च निष्ठितः ॥ १४ ॥,155.2,160.3
1,1,सर्वशास्त्रार्थतत्त्वज्ञः स्मृतिमान् प्रतिभानवान् ।,160.3,165.52
1,1,सर्वलोकप्रियः साधुरदीनात्मा विचक्षणः ॥ १५ ॥,165.52,170.32
1,1,सर्वदाभिगतः सद्भिः समुद्र इव सिन्धुभिः ।,170.32,174.72
1,1,आर्यः सर्वसमश्चैव सदैकप्रियदर्शनः ॥ १६ ॥,174.72,179.26
1,1,स च सर्वगुणोपेतः कौसल्यानन्दवर्द्धनः ।,179.26,183.96
1,1,समुद्र इव गाम्भीर्य्ये धैर्येण हिमवानिव ॥ १७ ॥,183.96,187.58
1,1,विष्णुना सदृशो वीर्ये सोमवत्प्रियदर्शनः ।,187.58,193.66
1,1,कालाग्निसदृशः क्रोधे क्षमया पृथिवीसमः ॥ १८ ॥,193.66,198.4
1,1,धनदेन समस्त्यागे सत्ये धर्म इवापरः ।,198.4,203.22
1,1,तमेवङ्गुणसम्पन्नं रामं सत्यपराक्रमम् ॥ १९ ॥,203.22,207.64
1,1,ज्येष्ठं श्रेष्ठगुणैर्युक्तं प्रियं दशरथः सुतम् ।,207.64,212.2
1,1,यौवराज्येन संयोक्तुमैच्छत्प्रीत्या महीपतिः ॥ २० ॥,212.2,220.4
1,1,तस्याभिषेकसम्भारान् दृष्ट्वा भार्याऽथ कैकयी ।,220.4,227.96
1,1,पूर्वं दत्तवरा देवी वरमेनमयाचत ॥ २१ ॥,227.96,232.7
1,1,विवासनं च रामस्य भरतस्याभिषेचनम् ।,232.7,236.94
1,1,स सत्यवचनाद्राजा धर्मपाशेन संयतः ॥ २२ ॥,236.94,241.92
1,1,विवासयामास सुतं रामं दशरथः प्रियम् ।,241.92,246.14
1,1,स जगाम वनं वीरः प्रतिज्ञामनुपालयन् ॥ २३ ॥,246.14,250.52
1,1,पितुर्वचननिर्देशात् कैकेय्याः प्रियकारणात् ।,250.52,255.7
1,1,तं व्रजन्तं प्रिये भ्राता लक्ष्मणोऽनुजगाम ह ॥ २४ ॥,255.7,260.46
1,1,स्नेहाद्विनयसम्पन्नः सुमित्रानन्दवर्द्धनः ।,260.46,265.48
1,1,भ्रातरं दयितो भ्रातुः सौभ्रात्रमनुदर्शयन् ॥ २५ ॥,265.48,269.6
1,1,रामस्य दयिता भार्या नित्यं प्राणसमा हिता ।,269.6,275.22
1,1,जनकस्य कुले जाता देवमायेव निर्मिता ॥ २६ ॥,275.22,279.68
1,1,सर्वलक्षणसम्पन्ना नारीणामुत्तमा वधूः ।,279.68,284.48
1,1,सीताप्यनुगता रामं शशिनं रोहिणी यथा ॥ २७ ॥,284.48,288.86
1,1,पौरैरनुगतो दूरं पित्रा दशरथेन च ।,288.86,293.74
1,1,शृङ्गिबेरपुरे सूतं गङ्गाकूले व्यसर्ज्जयत् ॥ २८ ॥,293.74,298.68
1,1,गुहमासाद्य धर्मात्मा निषादाधिपतिं प्रियम् ।,298.68,303.88
1,1,गुहेन सहितो रामो लक्ष्मणेन च सीतया ॥ २९ ॥,303.88,308.14
1,1,ते वनेन वनं गत्वा नदीस्तीर्त्वा बहूदकाः ।,308.14,313.14
1,1,चित्रकूटमनुप्राप्य भरद्वाजस्य शासनात् ॥ ३० ॥,313.14,317.3
1,1,रम्यमावसथं कृत्वा रममाणा वने त्रयः ।,317.3,322.56
1,1,देवगन्धर्वसङ्काशास्तत्र ते न्यवसन् सुखम् ॥ ३१ ॥,322.56,327.34
1,1,चित्रकूटं गते रामे पुत्रशोकातुरस्तथा ।,327.34,331.54
1,1,राजा दशरथः स्वर्गं जगाम विलपन् सुतम् ॥ ३२ ॥,331.54,335.06
1,1,मृते तु तस्मिन्भरतो वसिष्ठप्रमुखैर्द्विजैः ।,335.06,340.44
1,1,नियुज्यमानो राज्याय नैच्छद्राज्यं महाबलः ॥ ३३ ॥,340.44,345.4
1,1,स जगाम वनं वीरो रामपादप्रसादकः ।,345.4,349.82
1,1,गत्वा तु सुमहात्मानं रामं सत्यपराक्रमम् ॥ ३४ ॥,349.82,354.52
1,1,अयाचद्भ्रातरं राममार्यभावपुरस्कृतः ।,354.52,362.02
1,1,रामोऽपि परमोदारः सुमुखः सुमहायशाः ॥ ३५ ॥,362.02,368.34
1,1,न चैच्छत्पितुरादेशाद्राज्यं रामो महाबलः ।,368.34,373.1
1,1,पादुके चास्य राज्याय न्यासं दत्त्वा पुनः पुनः ॥ ३६ ॥,373.1,377.38
1,1,निवर्त्तयामास ततो भरतं भरताग्रजः ।,377.38,383.1
1,1,स काममनवाप्यैव रामपादावुपस्पृशन् ॥ ३७ ॥,383.1,386.9
1,1,नन्दिग्रामेऽकरोद्राज्यं रामागमनकाङ्क्षया ।,386.9,392.78
1,1,गते तु भरते श्रीमान् सत्यसन्धो जितेन्द्रियः ॥ ३८ ॥,392.78,397.98
1,1,रामस्तु पुनरालक्ष्य नागरस्य जनस्य च ।,397.98,401.88
1,1,तत्रागमनमेकाग्रो दण्डकान् प्रविवेश ह ॥ ३९ ॥,401.88,406.4
1,1,प्रविश्य तु महारण्यं रामो राजीवलोचनः ।,406.4,411.24
1,1,विराधं राक्षसं हत्वा शरभङ्गं ददर्श ह ॥ ४० ॥,411.24,415.64
1,1,सुतीक्ष्णं चाप्यगस्त्यं च अगस्त्यभ्रातरं तथा ।,415.64,419.62
1,1,अगस्त्यवचनाच्चैव जग्राहैन्द्रं शरासनम् ॥ ४१ ॥,419.62,424.68
1,1,खड्गं च परमप्रीतस्तूणी चाक्षयसायकौ ।,424.68,428.68
1,1,वसतस्तस्य रामस्य वने वनचरैः सह ॥ ४२ ॥,428.68,433.58
1,1,ऋषयोऽभ्यागमन् सर्वे वधायासुररक्षसाम् ।,433.58,438.02
1,1,स तेषां प्रतिशुश्राव राक्षसानां तथा वने ॥ ४३ ॥,438.02,442.72
1,1,प्रतिज्ञातश्च रामेण वधः संयति रक्षसाम् ।,442.72,447.02
1,1,ऋषीणामग्निकल्पानां दण्डकारण्यवासिनाम् ॥ ४४ ॥,447.02,451.98
1,1,तेन तत्रैव वसता जनस्थाननिवासिनी ।,451.98,456.06
1,1,विरूपिता शूर्पणखा राक्षसी कामरूपिणी ॥ ४५ ॥,456.06,460.5
1,1,ततः शूर्पणखावाक्यादुद्युक्तान् सर्लराक्षसान् ।,460.5,465.4
1,1,खरं त्रिशिरसं चैव दूषणं चैव राक्षसम् ॥ ४६ ॥,465.4,469.6
1,1,निजघान रणे रामस्तेषां चैव पदानुगान् ।,469.6,474.82
1,1,वने तस्मिन्निवसता जनस्थाननिवासिनाम् ॥ ४७ ॥,474.82,479.02
1,1,रक्षसां निहतान्यासन्सहस्राणि चतुर्दश ।,479.02,483.92
1,1,ततो ज्ञातिवधं श्रुत्वा रावणः क्रोधमूर्च्छितः ॥ ४८ ॥,483.92,488.6
1,1,सहायं वरयामास मारीचं नाम राक्षसम् ।,488.6,492.6
1,1,वार्यमाणः सुबहुशो मारीचेन स रावणः ॥ ४९ ॥,492.6,497.78
1,1,न विरोधो बलवता क्षमो रावण तेन ते ।,497.78,502.0
1,1,अनादृत्य तु तद्वाक्यं रावणः कालचोदितः ॥ ५० ॥,502.0,506.68
1,1,जगाम सहमारीचस्तस्याश्रमपदं तदा ।,506.68,511.06
1,1,तेन मायाविना दूरमपवाह्य नृपात्मजौ ॥ ५१ ॥,511.06,515.64
1,1,जहार भार्यां रामस्य गृध्रं हत्वा जटायुषम् ।,515.64,520.82
1,1,गृध्रं च निहतं दृष्ट्वा हृतां श्रुत्वा च मैथिलीम् ॥ ५२ ॥,520.82,525.7
1,1,राघवः शोकसन्तप्तो विललापाकुलेन्द्रियः ।,525.7,530.48
1,1,ततस्तेनैव शोकेन गृध्रं दग्ध्वा जटायुषम् ॥ ५३ ॥,530.48,535.06
1,1,मार्गमाणो वने सीतां राक्षसं सन्ददर्श ह ।,535.06,539.8
1,1,कबन्धं नाम रूपेण विकृतं घोरदर्शनम् ॥ ५४ ॥,539.8,543.56
1,1,तं निहत्य महाबाहुर्ददाह स्वर्गतश्च सः ।,543.56,548.62
1,1,स चास्य कथयामास शबरीं धर्मचारिणीम् ॥ ५५ ॥,548.62,552.98
1,1,श्रमणीं धर्मनिपुणामभिगच्छेति राघवम् ।,552.98,557.16
1,1,सोभ्यगच्छन्महातेजाः शबरीं शत्रुसूदनः ॥ ५६ ॥,557.16,562.12
1,1,शबर्या पूजितः सम्यग्रामो दशरथात्मजः ।,562.12,566.62
1,1,पम्पातीरे हनुमता सङ्गतो वानरेण ह ॥ ५७ ॥,566.62,570.82
1,1,हनुमद्वचनाच्चैव सुग्रीवेण समागतः ।,570.82,575.42
1,1,सुग्रीवाय च तत्सर्वं शंसद्रामो महाबलः ॥ ५८ ॥,575.42,580.12
1,1,आदितस्तद्यथावृत्तं सीतायाश्च विशेषतः ।,580.12,584.8
1,1,सुग्रीवश्चापि तत्सर्वं श्रुत्वा रामस्य वानरः ॥ ५९ ॥,584.8,589.58
1,1,चकार सख्यं रामेण प्रीतश्चैवाग्निसाक्षिकम् ।,589.58,594.28
1,1,ततो वानरराजेन वैरानुकथनं प्रति ॥ ६० ॥,594.28,598.44
1,1,रामायावेदितं सर्वं प्रणयाद्दुःखितेन च ।,598.44,601.96
1,1,प्रतिज्ञातं च रामेण तदा वालिवधं प्रति ॥ ६१ ॥,601.96,607.26
1,1,वालिनश्च बलं तत्र कथयामास वानरः ।,607.26,610.94
1,1,प्रतिज्ञातं च रामेण तदा वालिवधं प्रति ॥ ६२ ॥,610.94,611.64
1,1,सुग्रीवः शङ्कितश्चासीन्नित्यं वीर्येण राघवे ।,611.64,616.54
1,1,राघवप्रत्ययार्थं तु दुन्दुभेः कायमुत्तमम् ॥ ६३ ॥,616.54,621.18
1,1,दर्शयामास सुग्रीवो महापर्वतसन्निभम् ।,621.18,625.28
1,1,उत्स्मयित्वा महाबाहुः प्रेक्ष्य चास्थि महाबलः ॥ ६४ ॥,625.28,630.22
1,1,पादाङ्गुष्ठेन चिक्षेप सम्पूर्णं दशयोजनम् ।,630.22,634.26
1,1,बिभेद च पुनस्सालान् सप्तैकेन महेषुणा ॥ ६५ ॥,634.26,639.44
1,1,गिरिं रसातलं चैवं जनयन् प्रत्ययं तदा ।,639.44,643.56
1,1,ततः प्रीतमनास्तेन विश्वस्तः स महाकपिः ॥ ६६ ॥,643.56,648.02
1,1,किष्किन्धां रामसहितो जगाम च गुहां तदा ।,648.02,652.9
1,1,ततोऽगर्जद्धरिवरः सुग्रीवो हेमपिङ्गलः ॥ ६७ ॥,652.9,655.48
1,1,तेन नादेन महता निर्जगाम हरीश्वरः ।,655.48,660.84
1,1,अनुमान्य तदा तारां सुग्रीवेण समागतः ॥ ६८ ॥,660.84,666.66
1,1,निजघान च तत्रैनं शरेणैकेन राघवः ।,666.66,669.92
1,1,ततः सुग्रीववचनाद्धत्वा वालिनमाहवे ॥ ६९ ॥,669.92,675.02
1,1,सुग्रीवमेव तद्राज्ये राघवः प्रत्यपादयत् ।,675.02,679.68
1,1,स च सर्वान् समानीय वानरान् वानरर्षभः ॥ ७० ॥,679.68,684.54
1,1,दिशः प्रस्थापयामास दिदृक्षुर्जनकात्मजाम् ।,684.54,689.94
1,1,ततो गृध्रस्य वचनात्सम्पातेर्हनुमान् बली ॥ ७१ ॥,689.94,694.08
1,1,शतयोजनविस्तीर्णं पुप्लुवे लवणार्णवम् ।,694.08,698.42
1,1,तत्र लङ्कां समासाद्य पुरीं रावणपालिताम् ॥ ७२ ॥,698.42,703.96
1,1,ददर्श सीतां ध्यायन्तीमशोकवनिकां गताम् ।,703.96,708.92
1,1,निवेदयित्वाभिज्ञानं प्रवृत्तिं च निवेद्य च ॥ ७३ ॥,708.92,713.42
1,1,समाश्वास्य च वैदेहीं मर्दयामास तोरणम् ।,713.42,717.88
1,1,पञ्च सेनाग्रगान् हत्वा सप्त मन्त्रिसुतानपि ॥ ७४ ॥,717.88,722.84
1,1,शूरमक्षं च निष्पिष्य ग्रहणं समुपागमत् ।,722.84,726.78
1,1,अस्त्रेणोन्मुक्तमात्मानं ज्ञात्वा पैतामहाद्वरात् ॥ ७५ ॥,726.78,732.94
1,1,मर्षयन् राक्षसान् वीरो यन्त्रिणस्तान् यदृच्छया ।,732.94,737.9
1,1,ततो दग्ध्वा पुरीं लङ्कामृते सीतां च मैथिलीम् ॥ ७६ ॥,737.9,742.72
1,1,रामाय प्रियमाख्यातुं पुनरायान्महाकपिः ।,742.72,747.88
1,1,सोऽभिगम्य महात्मानं कृत्वा रामं प्रदक्षिणम् ॥ ७७ ॥,747.88,751.98
1,1,न्यवेदयदमेयात्मा दृष्टा सीतेति तत्त्वतः ।,751.98,756.26
1,1,ततः सुग्रीवसहितो गत्वा तीरं महोदधेः ॥ ७८ ॥,756.26,762.04
1,1,समुद्रं क्षोभयामास शरैरादित्यसन्निभैः ।,762.04,766.72
1,1,दर्शयामास चात्मानं समुद्रः सरितां पतिः ॥ ७९ ॥,766.72,771.44
1,1,समुद्रवचनाच्चैव नलं सेतुमकारयत् ।,771.44,775.48
1,1,तेन गत्वा पुरीं लङ्कां हत्वा रावणमाहवे ॥ ८० ॥,775.48,780.08
1,1,रामः सीतामनुप्राप्य परां व्रीडामुपागमत् ।,780.08,785.14
1,1,तामुवाच ततो रामः परुषं जनसंसदि ॥ ८१ ॥,785.14,789.18
1,1,अमृष्यमाणा सा सीता विवेश ज्वलनं सती ।,789.18,793.64
1,1,ततोऽग्निवचनात्सीतां ज्ञात्वा विगतकल्मषाम् ॥ ८२ ॥,793.64,798.52
1,1,कर्मणा तेन महता त्रैलोक्यं सचराचरम् ।,798.52,803.36
1,1,सदेवर्षिगणं तुष्टं राघवस्य महात्मनः ॥ ८३ ॥,803.36,810.5
1,1,अभिषिच्य च लङ्कायां राक्षसेन्द्रं विभीषणम् ।,810.5,816.84
1,1,कृतकृत्यस्तदा रामो विज्वरः प्रमुमोद ह ॥ ८४ ॥,816.84,821.9
1,1,देवताभ्यो वरं प्राप्य समुत्थाप्य च वानरान् ।,821.9,826.4
1,1,अयोध्यां प्रस्थितो रामः पुष्पकेण सुहृद्वृतः ॥ ८५ ॥,826.4,831.82
1,1,भरद्वाजाश्रमं गत्वा रामः सत्यपराक्रमः ।,831.82,836.76
1,1,भरतस्यान्तिकं रामो हनूमन्तं व्यसर्जयत् ॥ ८६ ॥,836.76,841.06
1,1,पुनराख्यायिकां जल्पन् सुग्रीवसहितस्तदा ।,841.06,845.4
1,1,पुष्पकं तत्समारुह्य नन्दिग्रामं ययौ तदा ॥ ८७ ॥,845.4,850.52
1,1,नन्दिग्रामे जटां हित्वा भ्रातृभिस्सहितोऽनघः ।,850.52,854.2
1,1,रामः सीतामनुप्राप्य राज्यं पुनरवाप्तवान् ॥ ८८ ॥,854.2,860.5
1,1,प्रहृष्टमुदितो लोकस्तुष्टः पुष्टः सुधार्मिकः ।,860.5,863.98
1,1,निरामयो ह्यरोगश्च दुर्भिक्षभयवर्जितः ॥ ८९ ॥,863.98,868.76
1,1,न पुत्रमरणं किञ्चिद् द्रक्ष्यन्ति पुरुषाः क्वचित् ।,868.76,873.44
1,1,नार्यश्चाविधवा नित्यं भविष्यन्ति पतिव्रताः ॥ ९० ॥,873.44,878.28
1,1,न चाग्निजं भयं किञ्चिन्नाप्सु मज्जन्ति जन्तवः ।,878.28,883.1
1,1,न वातजं भयं किञ्चिन्नापि ज्वरकृतं तथा ॥ ९१ ॥,883.1,887.58
1,1,न चापि क्षुद्भयं तत्र न तस्करभयं तथा ।,887.58,891.74
1,1,नगराणि च राष्ट्राणि धनधान्ययुतानि च ॥ ९२ ॥,891.74,895.56
1,1,नित्यं प्रमुदिताः सर्वे यथा कृतयुगे तथा ।,895.56,899.6
1,1,अश्वमेधशतैरिष्ट्वा तथा बहुसुवर्णकैः ॥ ९३ ॥,899.6,904.92
1,1,गवां कोट्ययुतं दत्त्वा विद्वद्भ्यो विधिपूर्वकम् ।,904.92,911.36
1,1,राजवंशाञ्छतगुणान् स्थापयिष्यति राघवः ॥ ९४ ॥,911.36,920.54
1,1,चातुर्वर्ण्यं च लोकेऽस्मिन् स्वेस्वे धर्मे नियोक्ष्यति ।,920.54,926.22
1,1,दशवर्षसहस्राणि दशवर्षशतानि च ॥ ९५ ॥,926.22,929.7
1,1,रामो राज्यमुपासित्वा ब्रह्मलोकं गमिष्यति ।,929.7,935.18
1,1,इदं पवित्रं पापघ्नं पुण्यं वेदैश्च सम्मितम् ॥ ९६ ॥,935.18,939.6
1,1,यः पठेद्रामचरितं सर्वपापैः प्रमुच्यते ।,939.6,945.24
1,1,एतदाख्यानमायुष्यं पठन् रामायणं नरः ॥ ९७ ॥,945.24,950.14
1,1,सपुत्रपौत्रः सगणः प्रेत्य स्वर्गे महीयते ।,950.14,955.1
1,1,पठन् द्विजो वागृषभत्वमीयात्स्यात् क्षत्रियो भूमिपतित्वमीयात् ॥ ९८ ॥,955.1,961.78
1,1,वणिग्जनः पण्यफलत्वमीयाज्जनश्च शूद्रोपि महत्त्वमीयात् ॥ ९९ ॥,961.78,982.56
1,2,नारदस्य तु तद्वाक्यं श्रुत्वा वाक्यविशारदः ।,0.0,11.2
1,2,पूजयामास धर्मात्मा सहशिष्यो महामुनिः ॥ १ ॥,11.2,15.88
1,2,यथावत्पूजितस्तेन देवर्षिर्नारदस्तदा ।,15.88,20.98
1,2,आपृष्ट्वैवाभ्यनुज्ञातः स जगाम विहायसम् ॥ २ ॥,20.98,24.78
1,2,स मुहूर्तं गते तस्मिन् देवलोकं मुनिस्तदा ।,24.78,30.2
1,2,जगाम तमसातीरं जाह्नव्यास्त्वविदूरतः ॥ ३ ॥,30.2,35.06
1,2,स तु तीरं समासाद्य तमसाया मुनिस्तदा ।,35.06,39.56
1,2,शिष्यमाह स्थितं पार्श्वे दृष्ट्वा तीर्थमकर्दमम् ॥ ४ ॥,39.56,44.46
1,2,अकर्दममिदं तीर्थं भरद्वाज निशामय ।,44.46,49.06
1,2,रमणीयं प्रसन्नाम्बु सन्मनुष्यमनो यथा ॥ ५ ॥,49.06,53.32
1,2,न्यस्यतां कलशस्तात दीयतां वल्कलं मम ।,53.32,57.98
1,2,इदमेवावगाहिष्ये तमसातीर्थमुत्तमम् ॥ ६ ॥,57.98,61.7
1,2,एवमुक्ते भरद्वाजो वाल्मीकेन महात्मना ।,61.7,67.28
1,2,प्रायच्छत मुनेस्तस्य वल्कलं नियतो गुरोः ॥ ७ ॥,67.28,71.62
1,2,स शिष्यहस्तादादाय वल्कलं नियतेन्द्रियः ।,71.62,76.46
1,2,विचचार ह पश्यंस्तत्सर्वतो विपुलं वनम् ॥ ८ ॥,76.46,80.18
1,2,तस्याभ्याशे तु मिथुनं चरन्तमनपायिनम् ।,80.18,85.08
1,2,ददर्श भगवांस्तत्र क्रौञ्चयोश्चारुनिःस्वनम् ॥ ९ ॥,85.08,89.24
1,2,तस्मात्तु मिथुनादेकं पुमांसं पापनिश्चयः ।,89.24,94.92
1,2,जघान वैरनिलयो निषादस्तस्य पश्यतः ॥ १० ॥,94.92,97.9
1,2,तं शोणितपरीताङ्गं वेष्टमानं महीतले ।,97.9,104.28
1,2,भार्या तु निहतं दृष्ट्वा रुराव करुणां गिरम् ॥ ११ ॥,104.28,108.24
1,2,वियुक्ता पतिना तेन द्विजेन सहचारिणा ।,108.24,113.02
1,2,ताम्रशीर्षेण मत्तेन पत्रिणा सहितेन वै ॥ १२ ॥,113.02,117.5
1,2,तथा तु तं द्विजं दृष्ट्वां निषादेन निपातितम् ।,117.5,121.94
1,2,ऋषेर्धर्मात्मनस्तस्य कारुण्यं समपद्यत ॥ १३ ॥,121.94,126.66
1,2,ततः करुणवेदित्वादधर्मोऽयमिति द्विजः ।,126.66,130.98
1,2,निशाम्य रुदतीं क्रौञ्चीमिदं वचनमब्रवीत् ॥ १४ ॥,130.98,135.4
1,2,मा निषाद प्रतिष्ठां त्वमगमः शाश्वतीः समाः ।,135.4,140.48
1,2,यत्क्रौञ्चमिथुनादेकमवधीः काममोहितम् ॥ १५ ॥,140.48,144.34
1,2,तस्यैवं ब्रुवतश्चिन्ता बभूव हृदि वीक्षतः ।,144.34,149.74
1,2,शोकार्तेनास्य शकुनेः किमिदं व्याहृतं मया ॥ १६ ॥,149.74,154.6
1,2,चिन्तयन् स महाप्राज्ञश्चकार मतिमान् मतिम् ।,154.6,159.14
1,2,शिष्यं चैवाब्रवीद्वाक्यमिदं स मुनिपुङ्गवः ॥ १७ ॥,159.14,163.4
1,2,पादबद्धोऽक्षरसमस्तन्त्रीलयसमन्वितः ।,163.4,168.26
1,2,शोकार्त्तस्य प्रवृत्तो मे श्लोको भवतु नान्यथा ॥ १८ ॥,168.26,173.42
1,2,शिष्यस्तु तस्य ब्रुवतो मुनेर्वाक्यमनुत्तमम् ।,173.42,177.42
1,2,प्रतिजग्राह संहृष्टस्तस्य तुष्टोऽभवद्गुरुः ॥ १९ ॥,177.42,182.34
1,2,सोऽभिषेकं ततः कृत्वा तीर्थे तस्मिन् यथाविधि ।,182.34,187.1
1,2,तमेव चिन्तयन्नर्थमुपावर्तत वै मुनिः ॥ २० ॥,187.1,191.26
1,2,भरद्वाजस्ततः शिष्यो विनीतः श्रुतवान् मुनेः ।,191.26,195.84
1,2,कलशं पूर्णमादाय पृष्ठतोऽनुजगाम ह ॥ २१ ॥,195.84,200.06
1,2,स प्रविश्याश्रमपदं शिष्येण सह धर्मवित् ।,200.06,204.36
1,2,उपविष्टः कथाश्चान्याश्चकार ध्यानमास्थितः ॥ २२ ॥,204.36,209.56
1,2,आजगाम ततो ब्रह्मा लोककर्त्ता स्वयं प्रभुः ।,209.56,214.22
1,2,चतुर्मुखो महातेजा द्रष्टुं तं मुनिपुङ्गवम् ॥ २३ ॥,214.22,218.32
1,2,वाल्मीकिरथ तं दृष्ट्वा सहसोत्थाय वाग्यतः ।,218.32,223.76
1,2,प्राञ्जलिः प्रयतो भूत्वा तस्थौ परमविस्मितः ॥ २४ ॥,223.76,228.3
1,2,पूजयामास तं देवं पाद्यार्घ्यासनवन्दनैः ।,228.3,235.12
1,2,प्रणम्य विधिवच्चैनं पृष्ट्वानामयमव्ययम् ॥ २५ ॥,235.12,241.9
1,2,वाल्मीकये महर्षये सन्दिदेशासनं ततः ।,241.9,246.36
1,2,ब्रह्मणा समनुज्ञातः सोऽप्युपाविशदासने ॥ २६ ॥,246.36,250.92
1,2,उपविष्टे तदा तस्मिन् साक्षाल्लोकपितामहे ।,250.92,255.76
1,2,तद्गतेनैव मनसा वाल्मीकिर्ध्यानमास्थितः ॥ २७ ॥,255.76,259.52
1,2,पापात्मना कृतं कष्टं वैरग्रहणबुद्धिना ।,259.52,264.88
1,2,यस्तादृशं चारुरवं क्रौञ्चं हन्यादकारणात् ॥ २८ ॥,264.88,269.88
1,2,शोचन्नेव मुहुः क्रौञ्चीमुपश्लोकमिमं पुनः ।,269.88,272.82
1,2,जगावन्तर्गतमना भूत्वा शोकपरायणः ॥ २९ ॥,272.82,278.36
1,2,तमुवाच ततो ब्रह्मा प्रहसन् मुनिपुङ्गवम् ।,278.36,281.86
1,2,श्लोक एव त्वया बद्धो नात्र कार्या विचारणा ॥ ३० ॥,281.86,287.6
1,2,मच्छन्दादेव ते ब्रह्मन् प्रवृत्तेयं सरस्वती ।,287.6,292.44
1,2,रामस्य चरितं कृत्स्नं कुरु त्वमृषिसत्तम ॥ ३१ ॥,292.44,296.64
1,2,धर्मात्मनो गुणवतो लोके रामस्य धीमतः ।,296.64,301.36
1,2,वृत्तं कथय धीरस्य यथा ते नारदाच्छ्रुतम् ॥ ३२ ॥,301.36,305.44
1,2,रहस्यं च प्रकाशं च यद्वृत्तं तस्य धीमतः ।,305.44,309.34
1,2,रामस्य सहसौमित्रे राक्षसानां च सर्वशः ॥ ३३ ॥,309.34,315.56
1,2,वैदेह्याश्चैव यद्वृत्तं प्रकाशं यदि वा रहः ।,315.56,320.72
1,2,तच्चाप्यविदितं सर्वं विदितं ते भविष्यति ॥ ३४ ॥,320.72,325.1
1,2,न ते वागनृता काव्ये काचिदत्र भविष्यति ।,325.1,329.14
1,2,कुरु रामकथां पुण्यां श्लोकबद्धां मनोरमाम् ॥ ३५ ॥,329.14,334.38
1,2,यावत्स्थास्यन्ति गिरयः सरितश्च महीतले ।,334.38,339.36
1,2,तावद्रामायणकथा लोकेषु प्रचरिष्यति ॥ ३६ ॥,339.36,343.84
1,2,यावद्रामायणकथा त्वत्कृता प्रचरिष्यति ।,343.84,348.5
