Part,Sentence,Sentence Start,Sentence End
pm11-20,तच्छ्रुत्वातेश्रवणसुभगंगर्जितंमानसोत्काः,9.640,18.560
pm11-20,आकैलासाद्बिसकिसलयच्छेदपाथेयवन्तः,18.560,25.920
pm11-20,संपत्स्यन्तेनभसिभवतोराजहंसाःसहायाः,25.920,35.840
pm11-20,आपृच्छस्वप्रियसखममुंतुङ्गमालिङ्ग्यशैलं,35.840,44.040
pm11-20,वन्द्यैःपुंसांरघुपतिपदैःअङ्कितंमेखलासु,44.040,51.980
pm11-20,कालेकालेभवतिभवतोयस्यसंयोगमेत्य,51.980,60.260
pm11-20,स्नेहव्यक्तिश्चिरविरहजंमुञ्चतोबाष्पमुष्णम्,60.260,70.300
pm11-20,मर्गंतावच्छृणुकथयतःत्वत्प्रयाणानुरूपं,70.300,77.920
pm11-20,संदेशंमेतदनुजलदश्रोष्यसिश्रोत्रपेयम्,77.920,84.260
pm11-20,खिन्नःखिन्नःशिखरिषुपदंन्यस्यगन्तासियत्र,84.260,91.780
pm11-20,क्षीणःक्षीणःपरिलघुपयःस्रोतसांचोपभुज्य,91.780,101.200
pm11-20,अद्रेःशृङ्गंहरतिपवनःकिंस्विदित्युन्मुखीभिः,101.200,109.020
pm11-20,दृष्टोत्साहश्चकितचकितंमुग्धसिद्धाङ्गनाभिः,109.020,117.120
pm11-20,स्थानादस्मात्सरसनिचुलादुत्पतोदङ्मुखःखं,117.120,126.100
pm11-20,दिङ्नागानांपथिपरिहरन्स्थूलहस्तावलेपान्,126.100,135.860
pm11-20,रत्नच्छायाव्यतिकरइवप्रेक्ष्यमेतत्पुरस्ताद्,135.860,144.240
pm11-20,वल्मीकाग्रात्प्रभवतिधनुःखण्डमाखण्डलस्य,144.240,153.080
pm11-20,येनश्यामंवपुरतितरांकान्तिमापत्स्यतेते,153.080,161.480
pm11-20,बर्हेणेवस्फुरितरुचिनागोपवेषस्यविष्णोः,161.480,170.280
pm11-20,त्वय्यायन्तंकृषिफलमितिभ्रूविकारानभिज्ञैः,170.280,179.100
pm11-20,प्रीतिस्निग्धैर्जनपदवधूलोचनैःपीयमानः,179.100,188.060
pm11-20,सद्यःसीरोत्कषणसुरभिक्षेत्रमारुह्यमालं,188.060,195.960
pm11-20,किंचित्पश्चाद्व्रजलघुगतिर्भूयएवोत्तरेण,195.960,206.740
pm11-20,त्वामासारप्रशमितवनोपप्लवंसाधुमूर्ध्ना,206.740,215.020
pm11-20,वक्ष्यत्यध्वश्रमपरिगतंसानुमानाम्रकूटः,215.020,223.560
pm11-20,नक्षुद्रोऽपिप्रथमसुकृतापेक्षयासंश्रयाय,223.560,231.360
pm11-20,प्राप्तेमित्रेभवतिविमुखःकिंपुनर्यस्तत्थोच्चैः,231.360,240.780
pm11-20,छन्नोपान्तःपरिणतफलद्योतिभिःकाननाम्रैः,240.780,250.320
pm11-20,त्वय्यारूढेशिखरमचलःस्निग्धवेणीसवर्णे,250.320,259.480
pm11-20,नूनंयास्यत्यमरमिथुनप्रेक्षणीयामवस्थां,259.480,267.800
pm11-20,मध्येश्यामःस्तनइवभुवःशेषविस्तारपाण्डुः,267.800,278.560
pm11-20,स्थित्वातस्मिन्वनचरवधूभुक्तकुञ्जेमुहूर्तं,278.560,287.040
pm11-20,तोयोत्सर्गद्रुततरगतिस्तत्परंवर्त्मतीर्णः,287.040,296.840
pm11-20,रेवांद्रक्ष्यस्युपलविषमेविन्ध्यपादेविशीर्णां,296.840,305.240
pm11-20,भक्तिच्छेदैरिवविरचितांभूतिमङ्गेगजस्य,305.240,314.500
pm11-20,तस्यास्तिक्तैःवनगजमदैरःवासितंवान्तवृष्टिः,314.500,324.760
pm11-20,जम्बूकुञ्जप्रतिहतरयंतोयमादायगच्छेः,324.760,333.840
pm11-20,अन्तःसारंघनतुलयितुंनानिलःशक्ष्यतित्वां,333.840,341.860
pm11-20,रिक्तःसर्वोभवतिहिलघुःपूर्णतागौरवाय,341.860,351.000
pm21-30,नीपंदृष्ट्वाहरितकपिशंकेसरैरर्धरूढैः,0.000,11.340
pm21-30,आविर्भूतप्रथममुकुलाःकन्दलीश्चानुकच्छम्,11.340,19.260
pm21-30,जग्ध्वारण्येष्वधिकसुरभिंगन्धमाघ्रायचोर्व्याः,19.260,28.860
pm21-30,सारङ्गास्तेजललवमुचःसूचयिष्यन्तिमार्गम्,28.860,39.560
pm21-30,अम्भोबिन्दुग्रहणचतुरांश्चातकान्वीक्षमाणाः,39.560,48.520
pm21-30,श्रेणीभूताःपरिगणनयानिर्दिशन्तोबलाकाः,48.520,57.280
pm21-30,त्वामासाद्यस्तनितसमयेमानयिष्यन्तिसिद्धाः,57.280,67.580
pm21-30,सोत्कण्ठानिप्रियसहचरीसंभ्रमालिङ्गितानि,67.580,75.860
pm21-30,उत्पश्यामिद्रुतमपिसखेमत्प्रियार्थंयियासोः,75.860,85.560
pm21-30,कालक्षेपंककुभसुरभौपर्वतेपर्वेतेते,85.560,94.780
pm21-30,शुक्लापाङ्गैःसजलनयनैःस्वागतीकृत्यकेकाः,94.780,105.220
pm21-30,प्रत्युद्यातःकथमपिभवान्गन्तुमाशुव्यवस्येत्,105.220,113.440
pm21-30,पाण्डुच्छायोपवनवृतयःकेतकैःसूचिभिन्नैः,113.440,123.660
pm21-30,नीडारम्भैःगृहबलिभुजामाकुलग्रामचैत्याः,123.660,133.480
pm21-30,त्वय्यासन्नेपरिणतफलश्यामजम्बूवनान्ताः,133.480,142.240
pm21-30,संपत्स्यन्तेकतिपयदिनस्थायिहंसादशार्णाः,142.240,151.460
pm21-30,तेषांदिक्षुप्रथितविदिशालक्षणांराजधानीं,151.460,160.880
pm21-30,गत्वासद्यःफलमविकलंकामुकत्वस्यलब्धा,160.880,169.040
pm21-30,तीरोपान्तस्तनितसुभगंपास्यसिस्वादुयस्मात्,169.040,178.200
pm21-30,सभ्रूभङ्गंमुखमिवपयोवेत्रवत्याश्चलोर्मि,178.200,187.520
pm21-30,नीचैराख्यंगिरिमधिवसेःतत्रविश्रामहेतोः,187.520,196.000
pm21-30,त्वत्सम्पर्कात्पुलकितमिवप्रौढपुष्पैःकदम्बैः,196.000,204.580
pm21-30,यःपण्यस्त्रीरतिपरिमलोद्गारिभिःनागराणाम्,204.580,211.520
pm21-30,उद्दामानिप्रथयतिशिलावेश्मभिर्यौवनानि,211.520,221.720
pm21-30,विश्रान्तःसन्व्रजवननदीतीरजातानिसिञ्चन्,221.720,230.780
pm21-30,उद्यानानांनवजलकणैःयूथिकाजालकानि,230.780,239.040
pm21-30,गण्डस्वेदापनयनरुजाक्लान्तकर्णोत्पलानां,239.040,247.480
pm21-30,छायादानात्क्षणपरिचितःपुष्पलावीमुखानाम्,247.480,258.540
pm21-30,वक्रःपन्थायदपिभवतःप्रस्थितस्योत्तराशां,258.540,266.620
pm21-30,सौधोत्सङ्गप्रणयविमुखःमास्मभूरुज्जयिन्याः,266.620,275.980
pm21-30,विद्युद्दामस्फुरितचकितैःयत्रपौराङ्गनानां,275.980,283.600
pm21-30,लोलापाङ्गैर्यदिनरमसेलोचनैर्वञ्चितःस्याः,283.600,292.400
pm21-30,वीचिक्षोभस्तनितविहगश्रेणिकाञ्चीगुणायाः,292.400,300.560
pm21-30,संसर्पन्त्याःस्खलितसुभगंदर्शितावर्तनाभेः,300.560,309.720
pm21-30,निर्विन्ध्यायाःपथिभवरसाभ्यन्तरःसन्निपत्य,309.720,317.540
pm21-30,स्त्रीणामाद्यंप्रणयवचनंविभ्रमोहिप्रियेषु,317.540,328.040
pm21-30,वेणीभूतप्रतनुसलिलातामतीतस्यसिन्धुः,328.040,335.800
pm21-30,पाण्डुच्छायातटरुहतरुभ्रंशिभिर्जीर्णपर्णैः,335.800,343.860
pm21-30,सौभाग्यंतेसुभगविरहावस्थयाव्यञ्जयन्ती,343.860,352.040
pm21-30,कार्श्यंयेनत्यजतिविधिनासत्वयैवोपपाद्यः,352.040,361.260
pm21-30,प्राप्यावन्तीन्उदयनकथाकोविदग्रामवृद्धान्,361.260,370.000
pm21-30,पूर्वोद्दिष्टामनुसरपुरींश्रीविशालांविशालाम्,370.000,378.920
pm21-30,स्वल्पीभूतेसुचरितफलेस्वर्गिणांगांगतानां,378.920,387.420
pm21-30,शेषैःपुण्यैर्हृतम्इवदिवःकान्तिमत्खण्डमेकम्,387.420,396.360
pm31-40,दीर्घीकुर्वन्पटुमदकलंकूजितंसारसानां,0.000,8.800
pm31-40,प्रत्यूषेषुस्फुटितकमलामोदमैत्रीकषायः,8.800,17.440
pm31-40,यत्रस्त्रीणांहरतिसुरतग्लानिमङ्गानुकूलः,17.440,25.300
pm31-40,शिप्रावातःप्रियतमइवप्रार्थनाचाटुकारः,25.300,35.500
pm31-40,हारांस्तारान्तरलगुटिकान्कोटिशःशङ्कशुक्तीः,35.500,43.620
pm31-40,शष्पश्यामान्मरकतमणीन्उन्मयूखप्ररोहान्,43.620,52.400
pm31-40,दृष्ट्वायस्यांविपणिरचितान्विद्रुमाणांचभङ्गान्,52.400,60.360
pm31-40,संलक्ष्यन्तेसलिलनिधयःतोयमात्रावशेषाः,60.360,69.440
pm31-40,प्रद्योतस्यप्रियदुहितरंवत्सराजोऽत्रजह्रे,69.440,76.640
pm31-40,हैमंतालद्रुमवनमभूद्अत्रतस्यैवराज्ञः,76.640,84.600
pm31-40,अत्रोद्भ्रान्तःकिलनलगिरिःस्तम्भमुत्पाट्यदर्पाद्,84.600,92.360
pm31-40,इत्यागन्तून्रमयतिजनोयत्रबन्धूनभिज्ञः,92.360,99.240
pm31-40,पत्रश्यामाःदिनकरहयस्पर्धिनोयत्रवाहाः,99.240,107.900
pm31-40,शैलोदग्राःत्वमिवकरिणःवृष्टिमन्तःप्रभेदात्,107.900,116.260
pm31-40,योधाग्रण्यःप्रतिदशमुखंसंयुगेतस्थिवांसः,116.260,123.300
pm31-40,प्रत्यादिष्टाभरणरुचयःचन्द्रहासव्रणाङ्कैः,123.300,132.280
pm31-40,जालोद्गीर्णैःउपचितवपुःकेशसंस्कारधूपैः,132.280,141.760
pm31-40,बन्धुप्रीत्याभवनशिखिभिःदत्तनृत्योपहारः,141.760,150.700
pm31-40,हर्म्येष्वस्याःकुसुमसुरभिषुअध्वखेदंनयेथाः,150.700,159.660
pm31-40,लक्ष्मींपश्यन्ललितवनितापादरागाङ्कितेषु,159.660,168.740
pm31-40,भर्तुःकण्ठच्छविरितिगणैःसादरंवीक्ष्यमाणः,168.740,176.480
pm31-40,पुण्यंयायाःत्रिभुवनगुरोर्धामचण्डीश्वरस्य,176.480,185.120
pm31-40,धूतोद्यानंकुवलयरजोगन्धिभिःगन्धवत्याः,185.120,193.320
pm31-40,तोयक्रीडानिरतयुवतिस्नानतिक्तैःमरुद्भिः,193.320,202.000
pm31-40,अप्यन्यस्मिन्जलधरमहाकालमासाद्यकाले,202.000,209.580
pm31-40,स्थातव्यंतेनयनविषयंयावदत्येतिभानुः,209.580,217.600
pm31-40,कुर्वन्सन्ध्याबलिपटहतांशूलिनःश्लाघनीयाम्,217.600,226.640
pm31-40,आमन्द्राणांफलमविकलंलप्स्यसेगर्जितानाम्,226.640,234.400
pm31-40,पादन्यासैःक्वणितरसनाःतत्रलीलावधूतैः,234.400,245.280
pm31-40,रत्नच्छायाखचितवलिभिःचामरैःक्लान्तहस्ताः,245.280,253.240
pm31-40,वेश्यास्त्वत्तोनखपदसुखान्प्राप्यवर्षाग्रबिन्दून्,253.240,262.840
pm31-40,आमोक्ष्यन्तेत्वयिमधुकरश्रेणिदीर्घान्कटक्षान्,262.840,270.920
pm31-40,पश्चादुच्चैर्भुजतरुवनंमण्डलेनाभिलीनः,270.920,279.340
pm31-40,सांध्यंतेजःप्रतिनवजपापुष्परक्तंदधानः,279.340,287.960
pm31-40,नृत्यारम्भेहरपशुपतेरार्द्रनागाजिनेच्छां,287.960,295.660
pm31-40,शान्तोद्वेगस्तिमितनयनंदृष्टभक्तिर्भवान्या,295.660,305.200
pm31-40,गच्छन्तीनांरमणवसतिंयोषितांयत्रनक्तं,305.200,313.280
pm31-40,रुद्धालोकेनरपतिपथेसूचिभेद्यैस्तमोभिः,313.280,322.200
pm31-40,सौदामन्याकनकनिकषस्निग्धयादर्शयोर्वीं,322.200,329.840
pm31-40,तोयोत्सर्गस्तनितमुखरःमास्मभूर्विक्लवास्ताः,329.840,338.900
pm31-40,तांकस्यांचिद्भवनवलभौसुप्तपारावतायां,338.900,348.840
pm31-40,नीत्वारात्रिंचिरविलसनात्खिन्नविद्युत्कलत्रः,348.840,356.980
pm31-40,दृष्टेसूर्येपुनरपिभवान्वाहयेदध्वशेषं,356.980,364.900
pm31-40,मन्दायन्तेनखलुसुहृदामभ्युपेतार्थकृत्याः,364.900,374.640
pm31-40,तस्मिन्कालेनयनसलिलंयोषितांखण्डितानां,374.640,382.140
pm31-40,शान्तिंनेयंप्रणयिभिःअतोवर्त्मभानोस्त्यजाशु,382.140,389.680
pm31-40,प्रालेयास्रंकमलवदनात्सोऽपिहर्तुंनलिन्याः,389.680,397.620
pm31-40,प्रत्यावृत्तस्त्वयिकररुधिस्यादनल्पभ्यसूयः,397.620,406.540
pm31-40,गम्भीरायाःपयसिसरितःचेतसीवप्रसन्ने,406.540,413.400
pm31-40,छायात्मापिप्रकृतिसुभगःलप्स्यतेतेप्रवेशम्,413.400,420.800
pm31-40,तस्मादस्याःकुमुदविशदान्यर्हसित्वंनधैर्यात्,420.800,428.780
pm31-40,मोघीकर्तुंचटुलशफोरोद्वर्तनप्रेक्षितानि,428.780,437.000
pm41-50,तस्याःकिञ्चित्करधृतमिवप्राप्त्वानीरशाखं,0.000,8.400
pm41-50,नीत्वानीलंसलिलवसनंमुक्तरोधोनितम्बम्,8.400,15.560
pm41-50,प्रस्थानंतेकथमपिसखेलम्बमानस्यभावि,15.560,22.740
pm41-50,ज्ञातास्वादोविवृतजघनांकोविहातुंसमर्थः,22.740,29.980
pm41-50,त्वन्निष्यन्दोच्छ्वसितवसुधागन्धसम्पर्करम्यः,29.980,38.300
pm41-50,स्रोतोरन्ध्रध्वनितसुभगंदन्तिभिःपीयमानः,38.300,46.360
pm41-50,नीचैर्वास्यत्युपजिगमिषोःदेवपूर्वंगिरिंते,46.360,54.820
pm41-50,शीतोवायुःपरिणमयिताकाननोदुम्बराणाम्,54.820,62.860
pm41-50,तत्रस्कन्दंनियतवसतिंपुष्पमेघीकृतात्मा,62.860,71.200
pm41-50,पुष्पासारैःस्नपयतुभवान्व्योमगङ्गाजलार्द्रैः,71.200,79.960
pm41-50,रक्षाहेतोर्नवशशिभृतावासवीनांचमूनाम्,79.960,88.180
pm41-50,अत्यादित्यंहुतवहमुखेसंभृतंतद्धितेजः,88.180,96.660
pm41-50,ज्योतिर्लेखावलयिगलितंयस्यबर्हंभवानी,96.660,104.080
pm41-50,पुत्रप्रेम्णाकुवलयदलप्रापिकर्णेकरोति,104.080,111.940
pm41-50,धौतापाङ्गंहरशशिरुचापावकेस्तंमयूरं,111.940,120.020
pm41-50,पश्चादद्रिग्रहणगुरुभिःगर्जितैर्नर्तयेथाः,120.020,129.660
pm41-50,आराध्यैनंशरवणभवंदेवमुल्लङ्घिताध्वा,129.660,137.780
pm41-50,सिद्धद्वन्द्वैर्जलकणभयाद्वीणिभिर्मुक्तमार्गः,137.780,146.340
pm41-50,व्यालम्बेथाःसुरभितनयालम्भजांमानयिष्यन्,146.340,153.620
pm41-50,स्रोतोमूर्त्याभुविपरिणतांरन्तिदेवस्यकीर्तिम्,153.620,162.340
pm41-50,त्वय्यादातुंजलमवनतेशार्ङ्गिणोवर्णचौरे,162.340,171.260
pm41-50,तस्याःसिन्धोःपृथुमपितनुंदूरभावात्प्रवाहम्,171.260,180.520
pm41-50,प्रेक्षिष्यन्तेगगनगतयःनूनमावर्ज्यदृष्टीः,180.520,189.000
pm41-50,एकंमुक्तागुणमिवभुवःस्थूलमध्येन्द्रनीलम्,189.000,198.620
pm41-50,तामुत्तीर्यव्रजपरिचितभ्रूलताविभ्रमाणां,198.620,206.240
pm41-50,पक्ष्मोत्क्षेपाद्उपरिविलसत्कृष्णशारप्रभाणाम्,206.240,214.060
pm41-50,कुन्दक्षेपानुगमधुकरश्रीमुषामात्मबिम्बं,214.060,221.560
pm41-50,पात्रीकुर्वन्दशपुरवधूनेत्रकौतूहलानाम्,221.560,230.560
pm41-50,ब्रह्मावर्तंजनपदम्अथच्छाययागाहमानः,230.560,238.120
pm41-50,क्षेत्रंक्षत्रप्रधनपिशुनंकौरवंतद्भजेथाः,238.120,247.080
pm41-50,राजन्यानांशितशरशतैःयत्रगाण्डीवधन्वा,247.080,255.440
pm41-50,धारापातैस्त्वमिवकमलान्यभ्यवर्षन्मुखानि,255.440,264.480
pm41-50,हित्वाहालामभिमतरसांरेवतीलोचनाङ्कां,264.480,272.620
pm41-50,बन्धुप्रीत्यासमरविमुखःलाङ्गलीयाःसिषेवे,272.620,280.220
pm41-50,कृत्वातासामधिगममपांसौम्यसारस्वतीनाम्,280.220,288.300
pm41-50,अन्तःशुद्धस्त्वमपिभवितावर्णमात्रेणकृष्णः,288.300,295.620
pm41-50,तस्माद्गच्छेःअनुकनखलंशैलराजावतीर्णां,295.620,305.520
pm41-50,जह्नोःकन्यांसगरतनयस्वर्गसोपानपङ्क्तिम्,305.520,313.820
pm41-50,गौरीवक्त्रभ्रुकुटिरचनांयाविहस्येवफेनैः,313.820,321.680
pm41-50,शम्भोःकेशग्रहणमकरोद्इन्दुलग्नोर्मिहस्ता,321.680,330.240
pm51-63,तस्याःपातुंसुरगजइवव्योम्निपश्चार्धलम्बी,0.000,8.980
pm51-63,त्वंचेद्अच्छस्फटिकविशदंतर्कयेस्तिर्यगम्भः,8.980,17.780
pm51-63,संसर्पन्त्यासपदिभवतःस्रोतसिच्छाययासौ,17.780,25.840
pm51-63,स्यादस्थानोपगतयमुनासंगमेवाभिरामा,25.840,35.500
pm51-63,आसीनानांसुरभितशिलंनाभिगन्धैर्मृगाणां,35.500,43.280
pm51-63,तस्याएवप्रभवमचलंप्राप्यगौरंतुषारैः,43.280,52.580
pm51-63,वक्ष्यस्यध्वश्रमविनयनेतस्यशृङ्गेनिषण्णः,52.580,60.180
pm51-63,शोभांशुभ्रत्रिनयनवृषोत्खातपङ्कोपमेयाम्,60.180,68.980
pm51-63,तंचेद्वायौसरतिसरलस्कन्धसंघट्टजन्मा,68.980,77.440
pm51-63,बाधेतोल्काक्षपितचमरीबालभारोदवाग्निः,77.440,86.380
pm51-63,अर्हस्येनंशमयितुमलंवारिधारासहस्रैः,86.380,94.300
pm51-63,आपन्नार्तिप्रशमनफलाःसंपदोह्युत्तमानाम्,94.300,103.400
pm51-63,येसंरम्भोत्पतनरभसाःस्वाङ्गभङ्गायतस्मिन्,103.400,111.760
pm51-63,मुक्ताध्वानंसपदिशरभालङ्घयेयुर्भवन्तम्,111.760,119.840
pm51-63,तान्कुर्वीथाःतुमुलकरकावृष्टिपातावकीर्णान्,119.840,128.780
pm51-63,केवानस्युःपरिभवपदंनिष्फलारम्भयत्नाः,128.780,136.820
pm51-63,तत्रव्यक्तंदृषदिचरणन्यासमर्धेन्दुमौलेः,136.820,144.720
pm51-63,शश्वत्सिद्धैरुपचितबलिंभक्तिनम्रःपरीयाः,144.720,152.540
pm51-63,यस्मिन्दृष्टेकरणविगमादूर्ध्वमुद्धूतपापाः,152.540,160.380
pm51-63,कल्पिष्यन्तेस्थिरगणपदप्राप्तयेश्रद्दधानाः,160.380,168.640
pm51-63,शब्दायन्तेमधुरमनिलैःकीचकाःपूर्यमाणाः,168.640,177.020
pm51-63,संरक्ताभिस्त्रिपुरविजयःगीयतेकिन्नरीभिः,177.020,184.680
pm51-63,निर्ह्रादस्तेमुरजइवचेत्कन्दरेषुध्वनिःस्यात्,184.680,192.440
pm51-63,संगीतार्थोननुपशुपतेःतत्रभावीसमग्रः,192.440,200.060
pm51-63,प्रालेयाद्रेरुपतटमतिक्रम्यतांस्तान्विशेषान्,200.060,209.400
pm51-63,हंसद्वारंभृगुपतियशोवर्त्मयत्क्रौञ्चरन्ध्रम्,209.400,216.560
pm51-63,तेनोदीचींदिशमनुसरेःतिर्यगायामशोभी,216.560,224.700
pm51-63,श्यामःपादःबलिनियमनाभ्युद्यतस्येवविष्णोः,224.700,233.700
pm51-63,गत्वाचोर्ध्वंदशमुखभुजोच्छ्वासितप्रस्थसंधेः,233.700,240.940
pm51-63,कैलासस्यत्रिदशवनितादर्पणस्यातिथिःस्याः,240.940,249.300
pm51-63,शृङ्गोच्छ्रायैःकुमुदविशदैर्योवितत्यस्थितःखं,249.300,256.920
pm51-63,राशीभूतःप्रतिदिनमिवत्र्यम्बकस्याट्टहासः,256.920,265.860
pm51-63,उत्पश्यामित्वयितटगतेस्निग्धभिन्नाञ्जनाभे,265.860,273.520
pm51-63,सद्यःकृत्तद्विरददशनच्छेदगौरस्यतस्य,273.520,280.640
pm51-63,शोभामद्रेःस्तिमितनयनप्रेक्षणीयांभवित्रीम्,280.640,288.900
pm51-63,अंसन्यस्तेसतिहलभृतःमेचकेवाससीव,288.900,297.740
pm51-63,हित्वातस्मिन्भुजगवलयंशम्भुनादत्तहस्ता,297.740,305.460
pm51-63,क्रीडाशैलेयदिचविचरेत्पादचारेणगौरी,305.460,314.580
pm51-63,भङ्गीभक्त्याविरचितवपुःस्तम्भितान्तर्जलौघः,314.580,322.260
pm51-63,सोपानत्वंकुरुमणितटारोहणायाग्रयायी,322.260,330.140
pm51-63,तत्रावश्यंवलयकुलिशोद्घट्टनोद्गीर्णतोयं,330.140,339.300
pm51-63,नेष्यन्तित्वांसुरयुवतयःयन्त्रधारागृहत्वम्,339.300,347.040
pm51-63,ताभ्योमोक्षस्तवयदिसखेघर्मलब्धस्यनस्यात्,347.040,355.360
pm51-63,क्रीडालोलाःश्रवणपरुषैर्गर्जितैर्भाययेस्ताः,355.360,364.980
pm51-63,हेमाम्भोजप्रसविसलिलंमानसस्याददानः,364.980,372.480
pm51-63,कुर्वन्कामंक्षणमुखपटप्रीतिमैरावतस्य,372.480,381.000
pm51-63,धुन्वन्कल्पद्रुमकिसलयान्यंशुकानीववातैः,381.000,389.080
pm51-63,नानाचेष्टैर्जलदललितैर्निर्विशेस्तंनगेन्द्रम्,389.080,397.320
pm51-63,तस्योत्सङ्गेप्रणयिनइवस्रस्तगङ्गादुकूलां,397.320,407.440
pm51-63,नत्वंदृष्ट्वानपुनरलकांज्ञास्यसेकामचारिन्,407.440,415.840
pm51-63,यावःकालेवहतिसलिलोद्गारमुच्चैर्विमाना,415.840,423.500
pm51-63,मुक्ताजालग्रथितमलकंकामिनीवाभ्रवृन्दम्,423.500,431.520
