Adhyaya,Pada,Sentence,Sentence Start,Sentence End
1,1,वृद्धिर्-आद्यन्तवद्-अव्ययीभावः-प्रत्ययस्यलुक्-पञ्चदश॥,215.720,221.520
1,1,इतिप्रथमःपादः॥,221.520,224.160
1,2,अथद्वितीयःपादः।,0.000,3.520
1,2,गाङ्कुटादिभ्योऽञ्णिन्ङित्॥१.२.१॥,3.520,6.380
1,2,विजइट्॥१.२.२॥,6.380,7.940
1,2,विभाषोर्णोः॥१.२.३॥,7.940,10.380
1,2,सार्वधातुकमपित्॥१.२.४॥,10.380,12.900
1,2,असंयोगाल्लिट्कित्॥१.२.५॥,12.900,15.580
1,2,इन्धिभवतिभ्यांच॥१.२.६॥,15.580,18.340
1,2,मृडमृदगुधकुषक्लिशवदवसःक्त्वा॥१.२.७॥,18.340,23.180
1,2,रुदविदमुषग्रहिस्वपिप्रच्छःसँश्च॥१.२.८॥,23.180,27.940
1,2,इकोझल्॥१.२.९॥,27.940,29.660
1,2,हलन्ताच्च॥१.२.१०॥,29.660,31.940
1,2,लिङ्सिचावात्मनेपदेषु॥१.२.११॥,31.940,35.380
1,2,उश्च॥१.२.१२॥,35.380,35.760
1,2,वागमः॥१.२.१३॥,35.760,38.980
1,2,हनःसिच्॥१.२.१४॥,38.980,40.800
1,2,यमोगन्धने॥१.२.१५॥,40.800,42.940
1,2,विभाषोपयमने॥१.२.१६॥,42.940,45.640
1,2,स्थाघ्वोरिच्च॥१.२.१७॥,45.640,47.360
1,2,नक्त्वासेट्॥१.२.१८॥,47.360,50.840
1,2,निष्ठाशीङ्स्विदिमिदिक्ष्विदिधृषः॥१.२.१९॥,50.840,55.020
1,2,मृषस्तितिक्षायाम्॥१.२.२०॥,55.020,57.640
1,2,उदुपधाद्भावादिकर्मणोरन्यतरस्याम्॥१.२.२१॥,57.640,62.100
1,2,पूङःक्त्वाच॥१.२.२२॥,62.100,65.000
1,2,नोपधात्थफान्ताद्वा॥१.२.२३॥,65.000,68.600
1,2,वञ्चिलुञ्च्यृतश्च॥१.२.२४॥,68.600,70.980
1,2,तृषिमृषिकृशेःकाश्यपस्य॥१.२.२५॥,70.980,74.900
1,2,रलोव्युपधाद्धलादेःसंश्च॥१.२.२६॥,74.900,78.020
1,2,ऊकालोऽज्झ्रस्वदीर्घप्लुतः॥१.२.२७॥,78.020,81.120
1,2,अचश्च॥१.२.२८॥,81.120,84.400
1,2,उच्चैरुदात्तः॥१.२.२९॥,84.400,86.960
1,2,नीचैरनुदात्तः॥१.२.३०॥,86.960,89.680
1,2,समाहारःस्वरितः॥१.२.३१॥,89.680,92.320
1,2,तस्यादितउदात्तमर्धह्रस्वम्॥१.२.३२॥,92.320,96.460
1,2,एकश्रुतिदूरात्सम्बुद्धौ॥१.२.३३॥,96.460,99.820
1,2,यज्ञकर्मण्यजपन्यूङ्खसामसु॥१.२.३४॥,99.820,103.340
1,2,उच्चैस्तरांवावषट्कारः॥१.२.३५॥,103.340,107.180
1,2,विभाषाछन्दसि॥१.२.३६॥,107.180,109.760
1,2,नसुब्रह्मण्यायांस्वरितस्यतूदात्तः॥१.२.३७॥,109.760,113.980
1,2,देवब्रह्मणोरनुदात्तः॥१.२.३८॥,113.980,117.180
1,2,स्वरितात्संहितायामनुदात्तानाम्॥१.२.३९॥,117.180,121.400
1,2,उदात्तस्वरितपरस्यसन्नतरः॥१.२.४०॥,121.400,124.760
1,2,अपृक्तएकाल्प्रत्ययः॥१.२.४१॥,124.760,127.540
1,2,तत्पुरुषःसमानाधिकरणःकर्मधारयः॥१.२.४२॥,127.540,131.780
1,2,प्रथमानिर्दिष्टंसमासउपसर्जनम्॥१.२.४३॥,131.780,136.360
1,2,एकविभक्तिचापूर्वनिपाते॥१.२.४४॥,136.360,139.700
1,2,अर्थवदधातुरप्रत्ययःप्रातिपदिकम्॥१.२.४५॥,139.700,143.400
1,2,कृत्तद्धितसमासाश्च॥१.२.४६॥,143.400,147.020
1,2,ह्रस्वोनपुंसकेप्रातिपदिकस्य॥१.२.४७॥,147.020,150.780
1,2,गोस्त्रियोरुपसर्जनस्य॥१.२.४८॥,150.780,154.640
1,2,लुक्तद्धितलुकि॥१.२.४९॥,154.640,156.940
1,2,इद्गोण्याः॥१.२.५०॥,156.940,159.240
1,2,लुपियुक्तवद्व्यक्तिवचने॥१.२.५१॥,159.240,162.060
1,2,विशेषणानांचाजातेः॥१.२.५२॥,162.060,165.280
1,2,तदशिष्यंसंज्ञाप्रमाणत्वात्॥१.२.५३॥,165.280,169.520
1,2,लुब्योगाप्रख्यानात्॥१.२.५४॥,169.520,172.760
1,2,योगप्रमाणेचतदभावेऽदर्शनंस्यात्॥१.२.५५॥,172.760,176.840
1,2,प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्॥१.२.५६॥,176.840,182.160
1,2,कालोपसर्जनेचतुल्यम्॥१.२.५७॥,182.160,185.300
1,2,जात्याख्यायामेकस्मिन्बहुवचनमन्यतरस्याम्॥१.२.५८॥,185.300,190.860
1,2,अस्मदोद्वयोश्च॥१.२.५९॥,190.860,193.660
1,2,फल्गुनीप्रोष्ठपदानांचनक्षत्रे॥१.२.६०॥,193.660,197.460
1,2,छन्दसिपुनर्वस्वोरेकवचनम्॥१.२.६१॥,197.460,200.840
1,2,विशाखयोश्च॥१.२.६२॥,200.840,203.260
1,2,तिष्यपुनर्वस्वोर्नक्षत्रद्वन्द्वेबहुवचनस्यद्विवचनंनित्यम्॥१.२.६३॥,203.260,208.960
1,2,सरूपाणामेकशेषएकविभक्तौ॥१.२.६४॥,208.960,213.500
1,2,वृद्धोयूनातल्लक्षणश्चेदेवविशेषः॥१.२.६५॥,213.500,217.440
1,2,स्त्रीपुंवच्च॥१.२.६६॥,217.440,219.840
1,2,पुमान्स्त्रिया॥१.२.६७॥,219.840,221.760
1,2,भ्रातृपुत्रौस्वसृदुहितृभ्याम्॥१.२.६८॥,221.760,225.520
1,2,नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम्॥१.२.६९॥,225.520,230.020
1,2,पितामात्रा॥१.२.७०॥,230.020,232.180
1,2,श्वशुरःश्वश्र्वा॥१.२.७१॥,232.180,234.180
1,2,त्यदादीनिसर्वैर्नित्यम्॥१.२.७२॥,234.180,237.200
1,2,ग्राम्यपशुसंघेष्वतरुणेषुस्त्री॥१.२.७३॥,237.200,241.560
1,2,गाङ्कुटादि-उदुपधाद्-अपृक्तः-छन्दसिपुनर्वस्वोस्-त्रयोदश॥,241.560,247.240
1,2,इतिद्वितीयःपादः॥,247.240,250.320
1,3,अथतृतीयःपादः।,0.000,3.400
1,3,भूवादयोधातवः॥१.३.१॥,3.400,6.420
1,3,उपदेशेऽजनुनासिकइत्॥१.३.२॥,6.420,9.340
1,3,हलन्त्यम्॥१.३.३॥,9.340,11.080
1,3,नविभक्तौतुस्माः॥१.३.४॥,11.080,14.200
1,3,आदिर्ञिटुडवः॥१.३.५॥,14.200,16.580
1,3,षःप्रत्ययस्य॥१.३.६॥,16.580,18.660
1,3,चुटू॥१.३.७॥,18.660,20.700
1,3,लशक्वतद्धिते॥१.३.८॥,20.700,23.000
1,3,तस्यलोपः॥१.३.९॥,23.000,25.300
1,3,यथासंख्यमनुदेशःसमानाम्॥१.३.१०॥,25.300,29.200
1,3,स्वरितेनाधिकारः॥१.३.११॥,29.200,31.820
1,3,अनुदात्तङितआत्मनेपदम्॥१.३.१२॥,31.820,35.420
1,3,भावकर्मणोः॥१.३.१३॥,35.420,37.520
1,3,कर्तरिकर्मव्यतिहारे॥१.३.१४॥,37.520,40.820
1,3,नगतिहिंसार्थेभ्यः॥१.३.१५॥,40.820,43.960
1,3,इतरेतरान्योन्योपपदाच्च॥१.३.१६॥,43.960,48.000
1,3,नेर्विशः॥१.३.१७॥,48.000,49.600
1,3,परिव्यवेभ्यःक्रियः॥१.३.१८॥,49.600,52.680
1,3,विपराभ्यांजेः॥१.३.१९॥,52.680,56.320
1,3,आङोदोऽनास्यविहरणे॥१.३.२०॥,56.320,58.660
1,3,क्रीडोऽनुसम्परिभ्यश्च॥१.३.२१॥,58.660,62.020
1,3,समवप्रविभ्यःस्थः॥१.३.२२॥,62.020,64.540
1,3,प्रकाशनस्थेयाख्ययोश्च॥१.३.२३॥,64.540,67.680
1,3,उदोऽनूर्ध्वकर्मणि॥१.३.२४॥,67.680,71.060
1,3,उपान्मन्त्रकरणे॥१.३.२५॥,71.060,73.620
1,3,अकर्मकाच्च॥१.३.२६॥,73.620,75.940
1,3,उद्विभ्यांतपः॥१.३.२७॥,75.940,78.560
1,3,आङोयमहनः॥१.३.२८॥,78.560,81.080
1,3,समोगम्यृच्छिप्रच्छिस्वरत्यर्तिश्रुविदिभ्यः॥१.३.२९॥,81.080,86.340
1,3,निसमुपविभ्योह्वः॥१.३.३०॥,86.340,89.200
1,3,स्पर्द्धायामाङः॥१.३.३१॥,89.200,92.060
1,3,गन्धनावक्षेपणसेवनसाहसिक्यप्रतियत्नप्रकथनोपयोगेषुकृञः॥१.३.३२॥,92.060,100.220
1,3,अधेःप्रसहने॥१.३.३३॥,100.220,102.740
1,3,वेःशब्दकर्मणः॥१.३.३४॥,102.740,105.560
1,3,अकर्मकाच्च॥१.३.३५॥,105.560,107.740
1,3,सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषुनियः॥१.३.३६॥,107.740,115.020
1,3,कर्तृस्थेचाशरीरेकर्मणि॥१.३.३७॥,115.020,118.960
1,3,वृत्तिसर्गतायनेषुक्रमः॥१.३.३८॥,118.960,122.240
1,3,उपपराभ्याम्॥१.३.३९॥,122.240,124.520
1,3,आङउद्गमने॥१.३.४०॥,124.520,127.360
1,3,वेःपादविहरणे॥१.३.४१॥,127.360,129.760
1,3,प्रोपाभ्यांसमर्थाभ्याम्॥१.३.४२॥,129.760,134.060
1,3,अनुपसर्गाद्वा॥१.३.४३॥,134.060,136.640
1,3,अपह्नवेज्ञः॥१.३.४४॥,136.640,139.740
1,3,अकर्मकाच्च॥१.३.४५॥,139.740,141.160
1,3,सम्प्रतिभ्यामनाध्याने॥१.३.४६॥,141.160,144.380
1,3,भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषुवदः॥१.३.४७॥,144.380,151.200
1,3,व्यक्तवाचांसमुच्चारणे॥१.३.४८॥,151.200,155.080
1,3,अनोरकर्मकात्॥१.३.४९॥,155.080,157.320
1,3,विभाषाविप्रलापे॥१.३.५०॥,157.320,160.560
1,3,अवाद्ग्रः॥१.३.५१॥,160.560,162.300
1,3,समःप्रतिज्ञाने॥१.३.५२॥,162.300,164.820
1,3,उदश्चरःसकर्मकात्॥१.३.५३॥,164.820,167.600
1,3,समस्तृतीयायुक्तात्॥१.३.५४॥,167.600,170.760
1,3,दाणश्चसाचेच्चतुर्थ्यर्थे॥१.३.५५॥,170.760,174.540
1,3,उपाद्यमःस्वकरणे॥१.३.५६॥,174.540,177.280
1,3,ज्ञाश्रुस्मृदृशांसनः॥१.३.५७॥,177.280,180.500
1,3,नानोर्ज्ञः॥१.३.५८॥,180.500,182.220
1,3,प्रत्याङ्भ्यांश्रुवः॥१.३.५९॥,182.220,185.380
1,3,शदेःशितः॥१.३.६०॥,185.380,187.520
1,3,म्रियतेर्लुङ्लिङोश्च॥१.३.६१॥,187.520,189.600
1,3,पूर्ववत्सनः॥१.३.६२॥,189.600,193.000
1,3,आम्प्रत्ययवत्कृञोऽनुप्रयोगस्य॥१.३.६३॥,193.000,196.940
1,3,प्रोपाभ्यांयुजेरयज्ञपात्रेषु॥१.३.६४॥,196.940,201.220
1,3,समःक्ष्णुवः॥१.३.६५॥,201.220,203.760
1,3,भुजोऽनवने॥१.३.६६॥,203.760,205.540
1,3,णेरणौयत्कर्मणौचेत्सकर्ताऽनाध्याने॥१.३.६७॥,205.540,211.400
1,3,भीस्म्योर्हेतुभये॥१.३.६८॥,211.400,214.080
1,3,गृधिवञ्च्योःप्रलम्भने॥१.३.६९॥,214.080,217.240
1,3,लियःसम्माननशालीनीकरणयोश्च॥१.३.७०॥,217.240,220.460
1,3,मिथ्योपपदात्कृञोऽभ्यासे॥१.३.७१॥,220.460,225.260
1,3,स्वरितञितःकर्त्रभिप्रायेक्रियाफले॥१.३.७२॥,225.260,229.620
1,3,अपाद्वदः॥१.३.७३॥,229.620,231.600
1,3,णिचश्च॥१.३.७४॥,231.600,233.300
1,3,समुदाङ्भ्योयमोऽग्रन्थे॥१.३.७५॥,233.300,236.840
1,3,अनुपसर्गाज्ज्ञः॥१.३.७६॥,236.840,238.940
1,3,विभाषोपपदेनप्रतीयमाने॥१.३.७७॥,238.940,242.840
1,3,शेषात्कर्तरिपरस्मैपदम्॥१.३.७८॥,242.840,246.680
1,3,अनुपराभ्यांकृञः॥१.३.७९॥,246.680,249.620
1,3,अभिप्रत्यतिभ्यःक्षिपः॥१.३.८०॥,249.620,252.460
1,3,प्राद्वहः॥१.३.८१॥,252.460,254.520
1,3,परेर्मृषः॥१.३.८२॥,254.520,256.680
1,3,व्याङ्परिभ्योरमः॥१.३.८३॥,256.680,259.360
1,3,उपाच्च॥१.३.८४॥,259.360,260.920
1,3,विभाषाऽकर्मकात्॥१.३.८५॥,260.920,263.660
1,3,बुधयुधनशजनेङ्प्रुद्रुस्रुभ्योणेः॥१.३.८६॥,263.660,268.500
1,3,निगरणचलनार्थेभ्यश्च॥१.३.८७॥,268.500,271.160
1,3,अणावकर्मकाच्चित्तवत्कर्तृकात्॥१.३.८८॥,271.160,276.360
1,3,नपादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः॥१.३.८९॥,276.360,282.980
1,3,वाक्यषः॥१.३.९०॥,282.980,284.600
1,3,द्युद्भ्योलुङि॥१.३.९१॥,284.600,286.440
1,3,वृद्भ्यःस्यसनोः॥१.३.९२॥,286.440,288.940
1,3,लुटिचकॢपः॥१.३.९३॥,288.940,291.640
1,3,भूवादयः-क्रीडोऽनु-वेःपाद-म्रियतेः-प्राद्वहस्-त्रयोदश॥,291.640,298.360
1,3,इतितृतीयःपादः॥,298.360,301.320
1,4,अथचतुर्थःपादः।,0.000,2.320
1,4,आकडारादेकासंज्ञा॥१.४.१॥,2.320,7.660
1,4,विप्रतिषेधेपरंकार्यम्॥१.४.२॥,7.660,11.280
1,4,यूस्त्र्याख्यौनदी॥१.४.३॥,11.280,14.440
1,4,नेयङुवङ्स्थानावस्त्री॥१.४.४॥,14.440,18.200
1,4,वाऽऽमि॥१.४.५॥,18.200,19.980
1,4,ङितिह्रस्वश्च॥१.४.६॥,19.980,22.360
1,4,शेषोघ्यसखि॥१.४.७॥,22.360,24.520
1,4,पतिःसमासएव॥१.४.८॥,24.520,27.660
1,4,षष्ठीयुक्तश्छन्दसिवा॥१.४.९॥,27.660,31.160
1,4,ह्रस्वंलघु॥१.४.१०॥,31.160,33.040
1,4,संयोगेगुरु॥१.४.११॥,33.040,35.100
1,4,दीर्घंच॥१.४.१२॥,35.100,37.280
1,4,यस्मात्प्रत्ययविधिस्तदादिप्रत्ययेऽङ्गम्॥१.४.१३॥,37.280,42.220
1,4,सुप्तिङन्तंपदम्॥१.४.१४॥,42.220,44.840
1,4,नःक्ये॥१.४.१५॥,44.840,46.560
1,4,सितिच॥१.४.१६॥,46.560,48.000
1,4,स्वादिष्वसर्वनामस्थाने॥१.४.१७॥,48.000,51.920
1,4,यचिभम्॥१.४.१८॥,51.920,53.100
1,4,तसौमत्वर्थे॥१.४.१९॥,53.100,56.440
1,4,अयस्मयादीनिच्छन्दसि॥१.४.२०॥,56.440,59.760
1,4,बहुषुबहुवचनम्॥१.४.२१॥,59.760,62.120
1,4,द्व्येकयोर्द्विवचनैकवचने॥१.४.२२॥,62.120,64.980
1,4,कारके॥१.४.२३॥,64.980,67.160
1,4,ध्रुवमपायेऽपादानम्॥१.४.२४॥,67.160,70.040
1,4,भीत्रार्थानांभयहेतुः॥१.४.२५॥,70.040,73.320
1,4,पराजेरसोढः॥१.४.२६॥,73.320,76.060
1,4,वारणार्थानामीप्सितः॥१.४.२७॥,76.060,79.520
1,4,अन्तर्द्धौयेनादर्शनमिच्छति॥१.४.२८॥,79.520,83.200
1,4,आख्यातोपयोगे॥१.४.२९॥,83.200,86.380
1,4,जनिकर्तुःप्रकृतिः॥१.४.३०॥,86.380,89.000
1,4,भुवःप्रभवः॥१.४.३१॥,89.000,90.740
1,4,कर्मणायमभिप्रैतिससम्प्रदानम्॥१.४.३२॥,90.740,95.240
1,4,रुच्यर्थानांप्रीयमाणः॥१.४.३३॥,95.240,98.720
1,4,श्लाघह्नुङ्स्थाशपांज्ञीप्स्यमानः॥१.४.३४॥,98.720,103.300
1,4,धारेरुत्तमर्णः॥१.४.३५॥,103.300,105.720
1,4,स्पृहेरीप्सितः॥१.४.३६॥,105.720,107.980
1,4,क्रुधद्रुहेर्ष्याऽसूयार्थानांयंप्रतिकोपः॥१.४.३७॥,107.980,113.800
1,4,क्रुधद्रुहोरुपसृष्टयोःकर्म॥१.४.३८॥,113.800,117.480
1,4,राधीक्ष्योर्यस्यविप्रश्नः॥१.४.३९॥,117.480,120.500
1,4,प्रत्याङ्भ्यांश्रुवःपूर्वस्यकर्ता॥१.४.४०॥,120.500,125.460
1,4,अनुप्रतिगृणश्च॥१.४.४१॥,125.460,126.620
1,4,साधकतमंकरणम्॥१.४.४२॥,126.620,130.580
1,4,दिवःकर्मच॥१.४.४३॥,130.580,132.240
1,4,परिक्रयणेसम्प्रदानमन्यतरस्याम्॥१.४.४४॥,132.240,136.880
1,4,आधारोऽधिकरणम्॥१.४.४५॥,136.880,139.300
1,4,अधिशीङ्स्थाऽऽसांकर्म॥१.४.४६॥,139.300,142.600
1,4,अभिनिविशश्च॥१.४.४७॥,142.600,144.780
1,4,उपान्वध्याङ्वसः॥१.४.४८॥,144.780,147.320
1,4,कर्तुरीप्सिततमंकर्म॥१.४.४९॥,147.320,150.480
1,4,तथायुक्तंचानीप्सितम्॥१.४.५०॥,150.480,154.200
1,4,अकथितंच॥१.४.५१॥,154.200,156.040
1,4,गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणामणिकर्तासणौ॥१.४.५२॥,156.040,163.640
1,4,हृक्रोरन्यतरस्याम्॥१.४.५३॥,163.640,166.520
1,4,स्वतन्त्रःकर्ता॥१.४.५४॥,166.520,168.680
1,4,तत्प्रयोजकोहेतुश्च॥१.४.५५॥,168.680,171.180
1,4,प्राग्रीश्वरान्निपाताः॥१.४.५६॥,171.180,174.880
1,4,चादयोऽसत्त्वे॥१.४.५७॥,174.880,177.420
1,4,प्रादयः॥१.४.५८॥,177.420,179.700
1,4,उपसर्गाःक्रियायोगे॥१.४.५९॥,179.700,183.140
1,4,गतिश्च॥१.४.६०॥,183.140,184.740
1,4,ऊर्यादिच्विडाचश्च॥१.४.६१॥,184.740,187.660
1,4,अनुकरणंचानितिपरम्॥१.४.६२॥,187.660,190.220
1,4,आदरानादरयोःसदसती॥१.४.६३॥,190.220,193.500
1,4,भूषणेऽलम्॥१.४.६४॥,193.500,195.600
1,4,अन्तरपरिग्रहे॥१.४.६५॥,195.600,197.660
1,4,कणेमनसीश्रद्धाप्रतीघाते॥१.४.६६॥,197.660,201.380
1,4,पुरोऽव्ययम्॥१.४.६७॥,201.380,203.880
1,4,अस्तंच॥१.४.६८॥,203.880,205.420
1,4,अच्छगत्यर्थवदेषु॥१.४.६९॥,205.420,208.400
1,4,अदोऽनुपदेशे॥१.४.७०॥,208.400,210.560
1,4,तिरोऽन्तर्द्धौ॥१.४.७१॥,210.560,212.700
1,4,विभाषाकृञि॥१.४.७२॥,212.700,214.700
1,4,उपाजेऽन्वाजे॥१.४.७३॥,214.700,217.480
1,4,साक्षात्प्रभृतीनिच॥१.४.७४॥,217.480,220.780
1,4,अनत्याधानउरसिमनसी॥१.४.७५॥,220.780,223.540
1,4,मध्येपदेनिवचनेच॥१.४.७६॥,223.540,226.760
1,4,नित्यंहस्तेपाणावुपयमने॥१.४.७७॥,226.760,229.900
1,4,प्राध्वंबन्धने॥१.४.७८॥,229.900,232.640
1,4,जीविकोपनिषदावौपम्ये॥१.४.७९॥,232.640,235.940
1,4,तेप्राग्धातोः॥१.४.८०॥,235.940,238.980
1,4,छन्दसिपरेऽपि॥१.४.८१॥,238.980,241.220
1,4,व्यवहिताश्च॥१.४.८२॥,241.220,242.540
1,4,कर्मप्रवचनीयाः॥१.४.८३॥,242.540,246.520
1,4,अनुर्लक्षणे॥१.४.८४॥,246.520,248.380
1,4,तृतीयार्थे॥१.४.८५॥,248.380,250.820
1,4,हीने॥१.४.८६॥,250.820,252.720
1,4,उपोऽधिकेच॥१.४.८७॥,252.720,254.520
1,4,अपपरीवर्जने॥१.४.८८॥,254.520,257.080
1,4,आङ्मर्यादावचने॥१.४.८९॥,257.080,260.160
1,4,लक्षणेत्थम्भूताख्यानभागवीप्सासुप्रतिपर्यनवः॥१.४.९०॥,260.160,267.100
1,4,अभिरभागे॥१.४.९१॥,267.100,268.900
1,4,प्रतिःप्रतिनिधिप्रतिदानयोः॥१.४.९२॥,268.900,272.240
1,4,अधिपरीअनर्थकौ॥१.४.९३॥,272.240,274.500
1,4,सुःपूजायाम्॥१.४.९४॥,274.500,276.880
1,4,अतिरतिक्रमणेच॥१.४.९५॥,276.880,279.660
1,4,अपिःपदार्थसम्भावनान्ववसर्गगर्हासमुच्चयेषु॥१.४.९६॥,279.660,285.740
1,4,अधिरीश्वरे॥१.४.९७॥,285.740,288.100
1,4,विभाषाकृञि॥१.४.९८॥,288.100,290.360
1,4,लःपरस्मैपदम्॥१.४.९९॥,290.360,292.740
1,4,तङानावात्मनेपदम्॥१.४.१००॥,292.740,295.540
