Kanda,Varga,Sentence,Sentence Start,Sentence End
1,1,भूतेशःखण्डपरशुर्गिरीशोगिरिशोमृडः॥१.१.३७॥,502.740,508.880
1,1,मृत्युञ्जयःकृत्तिवासाःपिनाकीप्रमथाधिपः।,508.880,514.320
1,1,उग्रःकपर्दीश्रीकण्ठःशितिकण्ठःकपालभृत्॥१.१.३८॥,514.320,522.480
1,1,वामदेवोमहादेवोविरूपाक्षस्त्रिलोचनः।,522.480,529.360
1,1,कृशानुरेताःसर्वज्ञोधूर्जटिर्नीललोहितः॥१.१.३९॥,529.360,535.120
1,1,हरःस्मरहरोभर्गस्त्र्यम्बकस्त्रिपुरान्तकः।,535.120,542.680
1,1,गङ्गाधरोऽन्धकरिपुःक्रतुध्वंसीवृषध्वजः॥१.१.४०॥,542.680,549.640
1,1,व्योमकेशोभवोभीमःस्थाणूरुद्रउमापतिः।,549.640,555.000
1,1,अहिर्बुध्न्योऽष्टमूर्तिश्चगजारिश्चमहानटः॥१.१.४१॥,555.000,561.880
1,1,कपर्दोऽस्यजटाजूटःपिनाकोऽजगवंधनुः।,561.880,567.860
1,1,प्रमथा:स्युःपारिषदाब्राह्मीइत्याद्यास्तुमातरः॥१.१.४२॥,567.860,578.200
1,1,ब्राह्मीमाहेश्वरीचैवकौमारीवैष्णवीतथा।,578.200,585.480
1,1,वारीहीचतथेन्द्राणीचामुण्डासप्तमातरः॥१.१.४३॥,585.480,591.800
1,1,विभूतिर्भूतिरैश्वर्यमणिमादिकमष्टधा।,591.800,597.640
1,1,अणिमामहिमाचैवगरिमालघिमातथा॥१.१.४४॥,597.640,603.480
1,1,प्राप्तिःप्राकाम्यमीशित्वंवशित्वंचाष्टसिद्धयः।,603.480,608.320
1,1,उमाकात्यायनीगौरीकालीहैमवतीश्वरी॥१.१.४५॥,608.320,617.720
1,1,शिवाभवानीरुद्राणीशर्वाणीसर्वमङ्गला।,617.720,627.020
1,1,अपर्णापार्वतीदुर्गामृडानीचण्डिकाम्बिका॥१.१.४६॥,627.020,635.680
1,1,आर्यादाक्षायणीचैवगिरिजामेनकात्मजा।,635.680,644.860
1,1,विनायकोविघ्नराजद्वैमातुरगणाधिपाः॥१.१.४७॥,644.860,649.120
1,1,अप्येकदन्तहेरम्बलम्बोदरगजाननाः।,649.120,655.580
1,1,कार्तिकेयोमहासेनःशरजन्माषडाननः॥१.१.४८॥,655.580,662.640
1,1,पार्वतीनन्दनःस्कन्दःसेनानीरग्निभूर्गुहः।,662.640,670.740
1,1,बाहुलेयस्तारकजिद्विशाखःशिखिवाहनः॥१.१.४९॥,670.740,676.840
1,1,षाण्मातुरःशक्तिधरःकुमारःक्रौञ्चदारणः।,676.840,683.980
1,1,शृङ्गीभृङ्गीरिटिस्तुण्डीनन्दिकोनन्दिकेश्वरः॥१.१.५०॥,683.980,690.160
1,1,कर्ममोटीतुचामुण्डाचर्ममुण्डातुचर्चिका।,690.160,694.140
1,1,इन्द्रोमरुत्वान्मघवाबिडौजाःपाकशासनः॥१.१.५१॥,694.140,698.080
1,1,वृद्धश्रवाःसुनासीरःपुरुहूतःपुरन्दरः।,698.080,704.340
1,1,जिष्णुर्लेखर्षभःशक्रःशतमन्युर्दिवस्पतिः॥१.१.५२॥,704.340,710.760
1,1,सुत्रामागोत्रभिद्वज्रीवासवोवृत्रहावृषा।,710.760,718.020
1,1,वास्तोष्पतिःसुरपतिर्बलारातिःशचीपतिः॥१.१.५३॥,718.020,724.800
1,1,जम्भभेदीहरिहयःस्वाराण्नमुचिसूदनः।,724.800,731.360
1,1,संक्रन्दनोदुश्च्यवनस्तुराषाण्मेघवाहनः॥१.१.५४॥,731.360,737.480
1,1,आखण्डलःसहस्राक्षऋभुक्षास्तस्यतुप्रिया।,737.480,745.420
1,1,पुलोमजाशचीन्द्राणीनगरीत्वमरावती॥१.१.५५॥,745.420,749.160
1,1,हयउच्चैःश्रवाःसूतोमातलिर्नन्दनंवनम्।,749.160,757.220
1,1,स्यात्प्रासादोवैजयन्तोजयन्तःपाकशासनिः॥१.१.५६॥,757.220,764.480
1,1,ऐरावतोऽभ्रमातङ्गैरावणाभ्रमुवल्लभाः।,764.480,768.800
1,1,ह्रादिनीवज्रमस्त्रीस्यात्कुलिशंभिदुरंपविः॥१.१.५७॥,768.800,776.600
1,1,शतकोटिःस्वरुःशम्बोदम्भोलिरशनिर्द्वयोः।,776.600,783.440
1,1,व्योमयानंविमानोऽस्त्रीनारदाद्याःसुरर्षयः॥१.१.५८॥,783.440,790.840
1,1,स्यात्सुधर्मादेवसभापीयूषममृतंसुधा।,790.840,797.020
1,1,मन्दाकिनीवियद्गङ्गास्वर्णदीसुरदीर्घिका॥१.१.५९॥,797.020,803.480
1,1,मेरुःसुमेरुर्हेमाद्रीरत्नसानुःसुरालयः।,803.480,811.000
1,1,पञ्चैतेदेवतरवोमन्दारःपारिजातकः॥१.१.६०॥,811.000,817.800
1,1,सन्तानःकल्पवृक्षश्चपुंसिवाहरिचन्दनम्।,817.800,823.600
1,1,सनत्कुमारोवैधात्रःस्वर्वैद्यावश्विनीसुतौ॥१.१.६१॥,823.600,831.000
1,1,नासत्यावश्विनौदस्रावाश्विनेयौचतावुभौ।,831.000,838.200
1,1,स्त्रियांबहुष्वप्सरसःस्वर्वेश्याउर्वशीमुखाः॥१.१.६२॥,838.200,845.640
1,1,घृताचीमेनकारम्भाउर्वशीचतिलोत्तमा।,845.640,851.780
1,1,सुकेशीमञ्जुघोषाद्याःकथ्यम्तेऽप्सरसोबुधैः॥१.१.६३॥,851.780,859.000
1,1,हाहाहूहूश्चैवमाद्यागन्धर्वास्त्रिदिवौकसाम्।,859.000,866.980
1,1,अग्निर्वैश्वानरोवह्निर्वीतिहोत्रोधनञ्जयः॥१.१.६४॥,866.980,874.080
1,1,कृपीटयोनिर्ज्वलनोजातवेदास्तनूनपात्।,874.080,880.160
1,1,बर्हिःशुष्माकृष्णवर्त्माशोचिष्केशउषर्बुधः॥१.१.६५॥,880.160,886.120
1,1,आश्रयाशोबृहद्भानुःकृशानुःपावकोऽनलः।,886.120,894.320
1,1,रोहिताश्वोवायुसखःशिखावानाशुशुक्षणिः॥१.१.६६॥,894.320,899.720
1,1,हिरण्यरेताहुतभुग्दहनोहव्यवाहनः।,899.720,907.260
1,1,सप्तार्चिर्दमुनाःशुक्रश्चित्रभानुर्विभावसुः॥१.१.६७॥,907.260,914.400
1,1,शुचिरप्पित्तमौर्वस्तुवाडवोवडवानलः।,914.400,919.340
1,1,वह्नेर्द्वयोर्ज्वालकीलावर्चिर्हेतिःशिखास्त्रियाम्॥१.१.६८॥,919.340,928.280
1,1,त्रिषुस्फुलिङ्गोऽग्निकणःसन्तापःसञ्ज्वरःसमौ।,928.280,934.940
1,1,उल्कास्यान्निर्गतज्वालाभूतिर्भसितभस्मनी॥१.१.६९॥,934.940,941.600
1,1,क्षारोरक्षाचदावस्तुदवोवनहुताशनः।,941.600,947.300
1,1,धर्मराजःपितृपतिःसमवर्तीपरेतराट्॥१.१.७०॥,947.300,951.760
1,1,कृतान्तोयमुनाभ्राताशमनोयमराड्यमः।,951.760,959.400
1,1,कालोदण्डधरःश्राद्धदेवोवैवस्वतोऽन्तकः॥१.१.७१॥,959.400,966.040
1,1,राक्षसःकौणपःक्रव्यात्क्रव्यादोऽस्रपआशरः।,966.040,974.960
1,1,रात्रिञ्चरोरात्रिचरःकर्बुरोनिकषात्मजः॥१.१.७२॥,974.960,979.240
1,1,यातुधानःपुण्यजनोनैरृतोयातुरक्षसी।,979.240,987.220
1,1,प्रचेतावरुणःपाशीयादसांपतिरप्पतिः॥१.१.७३॥,987.220,993.880
1,1,श्वसनःस्पर्शनोवायुर्मातरिश्वासदागतिः।,993.880,1000.100
1,1,पृषदश्वोगन्धवहोगन्धवाहानिलाशुगाः॥१.१.७४॥,1000.100,1006.840
1,1,समीरमारुतमरुज्जगत्प्राणसमीरणाः।,1006.840,1011.780
1,1,नभस्वद्वातपवनपवमानप्रभञ्जनाः॥१.१.७५॥,1011.780,1017.520
1,1,प्रकम्पनोमहावातोझञ्झावातःसवृष्टिकः।,1017.520,1022.640
1,1,प्राणोऽपानःसमानश्चोदानव्यानौचवायवः॥१.१.७६॥,1022.640,1031.120
1,1,हृदिप्राणोगुदोऽपानःसमानोनाभिमण्डले।,1031.120,1037.300
1,1,उदानःकण्ठदेशेस्याद्व्यानःसर्वशरीरगः॥१.१.७७॥,1037.300,1042.800
1,1,अन्नप्रवेशनंमूत्राद्युत्सर्गोऽन्नविपाचनम्।,1042.800,1045.000
1,1,भाषणादिनिमेषादितद्व्यापाराःक्रमादमी॥१.१.७८॥,1045.000,1048.240
1,1,शरीरस्थाइमेरंहस्तरसितुरयःस्यदः।,1048.240,1050.940
1,1,जवोऽथशीघ्रंत्वरितंलघुक्षिप्रमरंद्रुतम्॥१.१.७९॥,1050.940,1057.200
1,1,सत्वरंचपलंतूर्णमविलम्बितमाशुच।,1057.200,1062.320
1,1,सततानारताश्रान्तसन्तताविरतानिशम्॥१.१.८०॥,1062.320,1069.680
1,1,नित्यानवरताजस्रमप्यथातिशयोभरः।,1069.680,1073.700
1,1,अतिवेलभृशात्यर्थातिमात्रोद्गाढनिर्भरम्॥१.१.८१॥,1073.700,1080.760
1,1,तीव्रैकान्तनितान्तानिगाढबाढदृढानिच।,1080.760,1088.380
1,1,क्लीबेशीघ्राद्यसत्त्वेस्यात्त्रिष्वेषांसत्त्वगामियत्॥१.१.८२॥,1088.380,1096.640
1,1,कुबेरस्त्र्यम्बकसखोयक्षराड्गुह्यकेश्वरः।,1096.640,1102.800
1,1,मनुष्यधर्माधनदोराजराजोधनाधिपः॥१.१.८३॥,1102.800,1109.960
1,1,किन्नरेशोवैश्रवणःपौलस्त्योनरवाहनः।,1109.960,1115.900
1,1,यक्षैकपिङ्गैलविलश्रीदपुण्यजनेश्वराः॥१.१.८४॥,1115.900,1120.880
1,1,अस्योद्यानंचैत्ररथंपुत्रस्तुनलकूबरः।,1120.880,1128.740
1,1,कैलासःस्थानमलकापूर्विमानंतुपुष्पकम्॥१.१.८५॥,1128.740,1135.040
1,1,स्यात्किन्नरःकिम्पुरुषस्तुरङ्गवदनोमयुः।,1135.040,1141.540
1,1,निधिर्नाशेवधिर्भेदाःपद्मशङ्खादयोनिधेः॥१.१.८६॥,1141.540,1148.360
1,1,महापद्मश्चपद्मश्चशङ्खोमकरकच्छपौ।,1148.360,1154.980
1,1,मुकुन्दकुन्दनीलाश्चखर्वश्चनिधयोनव॥१.१.८७॥,1154.980,1161.400
1,1,इतिस्वर्गवर्गः।,1161.400,1164.240
1,2,अथव्योमवर्गः।,0.000,3.840
1,2,द्योदिवौद्वेस्त्रियामभ्रंव्योमपुष्करमम्बरम्।,3.840,11.100
1,2,नभोऽन्तरिक्षंगगनमनन्तंसुरवर्त्मखम्॥१.२.१॥,11.100,16.520
1,2,वियद्विष्णुपदंवातुपुंस्याकाशविहायसी।,16.520,22.460
1,2,विहायसोऽपिनाकोऽपिद्युरपिस्यात्तदव्ययम्॥१.२.२॥,22.460,28.440
1,2,तारापथोऽन्तरिक्षंचमेघाध्वाचमहाबिलम्।,28.440,35.500
1,2,विहायाःशकुनेपुंसिगगनेपुन्नपुंसकम्॥१.२.३॥,35.500,42.440
1,2,इतिव्योमवर्गः।,42.440,45.400
1,3,अथदिग्वर्गः।,0.000,3.000
1,3,दिशस्तुककुभःकाष्ठाआशाश्चहरितश्चताः।,3.000,10.260
1,3,प्राच्यवाचीप्रतीच्यस्ताःपूर्वदक्षिणपश्चिमाः॥१.३.१॥,10.260,15.960
1,3,उत्तरादिगुदीचीस्याद्दिश्यंतुत्रिषुदिग्भवे।,15.960,25.120
1,3,अवाग्भवमवाचीनमुदीचीनमुदग्भवम्॥१.३.२॥,25.120,30.080
1,3,प्रत्यग्भवंप्रतीचीनंप्राचीनंप्राग्भवंत्रिषु।,30.080,37.020
1,3,इन्द्रोवह्निःपितृपतिर्नैरृतोवरुणोमरुत्॥१.३.३॥,37.020,43.840
1,3,कुबेरःईशःपतयःपूर्वादीनांदिशांक्रमात्।,43.840,51.600
1,3,रविःशुक्रोमहीसूनुःस्वर्भानुर्भानुजोविधुः॥१.३.४॥,51.600,56.600
1,3,बुधोबृहस्पतिश्चेतिदिशांचैवतथाग्रहाः।,56.600,66.940
1,3,ऐरावतःपुण्डरीकोवामनःकुमुदोऽञ्जनः॥१.३.५॥,66.940,70.320
1,3,पुष्पदन्तःसार्वभौमःसुप्रतीकश्चदिग्गजाः।,70.320,77.040
1,3,करिण्योऽभ्रमुकपिलापिङ्गलानुपमाःक्रमात्॥१.३.६॥,77.040,83.680
1,3,ताम्रकर्णीशुभ्रदन्तीचाङ्गनाचाञ्जनावती।,83.680,89.400
1,3,क्लीबाव्ययंत्वपदिशंदिशोर्मध्येविदिक्स्त्रियाम्॥१.३.७॥,89.400,96.160
1,3,अभ्यन्तरंत्वन्तरालंचक्रवालंतुमण्डलम्।,96.160,102.800
1,3,अभ्रमेघोवारिवाहःस्तनयित्नुर्बलाहकः॥१.३.८॥,102.800,110.760
1,3,धाराधरोजलधरस्तडित्वान्वारिदोऽम्बुभृत्।,110.760,115.580
1,3,घनजीमूतमुदिरजलमुग्धूमयोनयः॥१.३.९॥,115.580,121.240
1,3,कादम्बिनीमेघमालात्रिषुमेघभवेऽभ्रियम्।,121.240,126.680
1,3,स्तनितंगर्जितंमेघनिर्घोषेरसितादिच॥१.३.१०॥,126.680,132.640
1,3,शम्पाशतह्रदाह्रादिन्यैरावत्यःक्षणप्रभा।,132.640,139.320
1,3,तडित्सौदामिनीविद्युच्चञ्चलाचपलाअपि॥१.३.११॥,139.320,144.720
1,3,स्फूर्जथुर्वज्रनिर्घोषोमेघज्योतिरिरम्मदः।,144.720,153.040
1,3,इन्द्रायुधंशक्रधनुस्तदेवऋजुरोहितम्॥१.३.१२॥,153.040,158.160
1,3,वृष्टिर्वर्षंतद्विघातेऽवग्राहावग्रहौसमौ।,158.160,164.460
1,3,धारासम्पातआसारःशीकरोऽम्बुकणाःस्मृताः॥१.३.१३॥,164.460,173.240
1,3,वर्षोपलस्तुकरकामेघच्छन्नेऽह्निदुर्दिनम्।,173.240,178.620
1,3,अन्तर्धाव्यवधापुंसित्वन्तर्धिरपवारणम्॥१.३.१४॥,178.620,185.600
1,3,अपिधानतिरोधानपिधानाच्छादनानिच।,185.600,192.560
1,3,हिमांशुश्चन्द्रमाश्चन्द्रइन्दुःकुमुदबान्धवः॥१.३.१५॥,192.560,198.520
1,3,विधुःसुधांशुःशुभ्रांशुरोषधीशोनिशापतिः।,198.520,205.720
1,3,अब्जोजैवातृकःसोमोग्लौर्मृगाङ्कःकलानिधिः॥१.३.१६॥,205.720,212.320
1,3,द्विजराजःशशधरोनक्षत्रेशःक्षपाकरः।,212.320,217.380
1,3,कलातुषोडशोभागोबिम्बोऽस्त्रीमण्डलंत्रिषु॥१.३.१७॥,217.380,224.160
1,3,भित्तंशकलखण्डेवापुंस्यर्धोऽर्धंसमेंऽशके।,224.160,231.200
1,3,चन्द्रिकाकौमुदीज्योत्स्नाप्रसादस्तुप्रसन्नता॥१.३.१८॥,231.200,239.720
1,3,कलङ्काङ्कौलाञ्छनंचचिह्नंलक्ष्मचलक्षणम्।,239.720,244.080
1,3,सुषमापरमाशोभाशोभाकान्तिर्द्युतिश्छविः॥१.३.१९॥,244.080,250.800
1,3,अवश्यायस्तुनीहारस्तुषारस्तुहिनंहिमम्।,250.800,256.340
1,3,प्रालेयंमिहिकाचाथहिमानीहिमसंहतिः॥१.३.२०॥,256.340,262.840
1,3,शीतंगुणेतद्वदर्थाःसुषीमःशिशिरोजडः।,262.840,269.320
1,3,तुषारःशीतलःशीतोहिमःसप्तान्यलिङ्गकाः॥१.३.२१॥,269.320,276.200
1,3,ध्रुवऔत्तानपादिःस्यादगस्त्यःकुम्भसम्भवः।,276.200,283.600
1,3,मैत्रावरुणिरस्यैवलोपामुद्रासधर्मिणी॥१.३.२२॥,283.600,289.320
1,3,नक्षत्रमृक्षंभंतारातारकाप्युडुवास्त्रियाम्।,289.320,296.560
1,3,दाक्षायिण्योऽश्विनीत्यादिताराअश्वयुगश्विनी॥१.३.२३॥,296.560,303.320
1,3,राधाविशाखापुष्येतुसिध्यतिष्यौश्रविष्ठया।,303.320,310.280
1,3,समाधनिष्ठाःस्युःप्रोष्ठपदाभाद्रपदास्त्रियः॥१.३.२४॥,310.280,316.200
1,3,मृगशीर्षंमृगशिरस्तस्मिन्नेवाग्रहायणी।,316.200,323.260
1,3,इल्वलास्तच्छिरोदेशेतारकानिवसन्तियाः॥१.३.२५॥,323.260,329.440
1,3,बृहस्पतिःसुराचार्योगीष्पतिर्धिषणोगुरुः।,329.440,336.080
1,3,जीवआङ्गिरसोवाचस्पतिश्चित्रशिखण्डिजः॥१.३.२६॥,336.080,341.840
1,3,शुक्रोदैत्यगुरुःकाव्यउशनाभार्गवःकविः।,341.840,348.420
1,3,अङ्गारकःकुजोभौमोलोहिताङ्गोमहीसुतः॥१.३.२७॥,348.420,355.200
1,3,रौहिणेयोबुधःसौम्यःसमौसौरिशनैश्चरौ।,355.200,361.460
1,3,तमस्तुराहुःस्वर्भानुःसैंहिकेयोविधुन्तुदः॥१.३.२८॥,361.460,367.120
1,3,सप्तर्षयोमरीच्यत्रिमुखाश्चित्रशिखण्डिनः।,367.120,374.540
1,3,राशीनामुदयोलग्नंतेतुमेषवृषादयः॥१.३.२९॥,374.540,380.800
1,3,सूरसूर्यार्यमादित्यद्वादशात्मदिवाकराः।,380.800,386.380
1,3,भास्कराहस्करब्रध्नःप्रभाकरविभाकराः॥१.३.३०॥,386.380,393.120
1,3,भास्वद्विवस्वत्सप्ताश्वहरिदश्वोष्णरश्मयः।,393.120,399.560
1,3,विकर्तनार्कमार्तण्डमिहिरारुणपूषणः॥१.३.३१॥,399.560,404.920
1,3,द्युमणिस्तरणिर्मित्रश्चित्रभानुर्विरोचनः।,404.920,410.940
1,3,विभावसुर्ग्रहपतिस्त्विषांपतिरहर्पतिः॥१.३.३२॥,410.940,416.960
1,3,भानुर्हंसःसहस्रांशुस्तपनःसवितारविः।,416.960,422.660
1,3,पद्माक्षस्तेजसांराशिश्छायानाथस्तमिस्रहा॥१.३.३३॥,422.660,430.880
1,3,कर्मसाक्षीजगच्चक्षुर्लोकबन्धुस्त्रयीतनुः।,430.880,437.120
1,3,प्रद्योतनोदिनमणिःखद्योतोलोकबान्धवः॥१.३.३४॥,437.120,443.160
1,3,इनोभगोधामनिधिश्चांशुमाल्यब्जिनीपतिः।,443.160,449.380
1,3,माठरःपिङ्गलोदण्डश्चण्डांशोःपारिपार्श्वकाः॥१.३.३५॥,449.380,457.360
1,3,सूरसूतोअरुणोऽनूरुःकाश्यपिर्गरुडाग्रजः।,457.360,463.420
1,3,परिवेषस्तुपरिधिरुपसूर्यकमण्डले॥१.३.३६॥,463.420,469.640
1,3,किरणोऽस्रमयूखांशुगभस्तिघृणिरश्मयः।,469.640,474.640
1,3,भानुःकरोमरीचिःस्त्रीपुंसयोर्दीधितिःस्त्रियाम्॥१.३.३७॥,474.640,482.400
1,3,स्युःप्रभारुग्रुचिस्त्विड्भाभाश्छविद्युतिदीप्तयः।,482.400,489.040
1,3,रोचिःशोचिरुभेक्लीबेप्रकाशोद्योतआतपः॥१.३.३८॥,489.040,496.600
1,3,कोष्णंकवोष्णंमन्दोष्णंकदुष्णंत्रिषुतद्वति।,496.600,503.020
1,3,तिग्मंतीक्ष्णंखरंतद्वन्मृगतृष्णामरीचिका॥१.३.३९॥,503.020,511.040
1,3,इतिदिग्वर्गः।,511.040,513.480
1,4,अथकालवर्गः।,0.000,4.160
1,4,कालोदिष्टोऽप्यनेहापिसमयोऽप्यथपक्षतिः।,4.160,9.560
1,4,प्रतिपद्द्वेइमेस्त्रीत्वेतदाद्यास्तिथयोद्वयोः॥१.४.१॥,9.560,18.040
